Player,Age,Salary,Salary,Salary,Salary,Salary,Salary,
LeBron James,39,$47607350,$51415938,,,,,$47607350
Anthony Davis,30,$40600080,$43219440,$60507216,$65347793,$70188370,,$279862899
D'Angelo Russell,27,$17307693,$18692307,,,,,$36000000
Rui Hachimura,25,$15740741,$17000000,$18259259,,,,$51000000
Austin Reaves,25,$12015150,$12976362,$13937574,$14898786,,,$38929086
Gabe Vincent,27,$10500000,$11000000,$11500000,,,,$33000000
Jarred Vanderbilt,24,$4698000,$10714286,$11571429,$12428571,$13285714,,$39412286
Taurean Prince,29,$4516000,,,,,,$4516000
Jalen Hood-Schifino,20,$3695040,$3879840,$4064640,$6243288,,,$7574880
Christian Wood,28,$2709849,$3036040,,,,,$2709849
Jaxson Hayes,23,$2165000,$2463946,,,,,$2165000
Cam Reddish,24,$2165000,$2463946,,,,,$2165000
Max Christie,20,$1719864,,,,,,$1719864
Maxwell Lewis,21,$1119563,$1891857,$2221677,$2406205,,,$3011420
Skylar Mays,26,,,,,,,
Dylan Windler,27,,,,,,,
Colin Castleton,23,,,,,,,
