,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,Guaranteed
Jimmy Butler,34,$45183960,$48798677,$52413394,,,,$93982637
Bam Adebayo,26,$32600060,$34848340,$37096620,,,,$104545020
Tyler Herro,24,$27000000,$29000000,$31000000,$33000000,,,$120000000
Terry Rozier,29,$23205221,$24924126,$26643031,,,,$74772378
Duncan Robinson,29,$18154000,$19406000,$19888000,,,,$47448000
Caleb Martin,28,$6802950,$7126900,,,,,$13929850
Kevin Love,35,$3835738,$4027525,,,,,$3835738
Jaime Jaquez Jr.,22,$3510600,$3685800,$3861600,$5939141,,,$7196400
Josh Richardson,30,$2891467,$3051153,,,,,$2891467
Thomas Bryant,26,$2528233,$2845342,,,,,$5373575
Nikola Jović,20,$2352000,$2464200,$4445417,,,,$4816200
Haywood Highsmith,27,$1902137,,,,,,$1902137
Orlando Robinson,23,$1801769,$2120693,,,,,$1801769
Dru Smith,26,$1801769,$2120693,,,,,
R.J. Hampton,22,,,,,,,
Jamal Cain,24,,,,,,,
Cole Swider,24,,,,,,,
