TeamID,SEASON,LeagueID,PLAYER,NICKNAME,PLAYER_SLUG,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID,HOW_ACQUIRED
1610612740,2023,00,Dereon Seabron,Dereon,dereon-seabron,0,G,6-5,180,"MAY 26, 2000",23.0,1,North Carolina State,1631220,Signed on 09/09/22
1610612740,2023,00,Zion Williamson,Zion,zion-williamson,1,F,6-6,284,"JUL 06, 2000",23.0,3,Duke,1629627,#1 Pick in 2019 Draft
1610612740,2023,00,CJ McCollum,CJ,cj-mccollum,3,G,6-3,190,"SEP 19, 1991",32.0,10,Lehigh,203468,Traded from POR on 02/08/22
1610612740,2023,00,Herbert Jones,Herbert,herbert-jones,5,F,6-7,206,"OCT 06, 1998",25.0,2,Alabama,1630529,#35 Pick in 2021 Draft
1610612740,2023,00,Naji Marshall,Naji,naji-marshall,8,F,6-6,220,"JAN 24, 1998",25.0,3,Xavier,1630230,Signed on 12/07/20
1610612740,2023,00,Dyson Daniels,Dyson,dyson-daniels,11,G,6-7,199,"MAR 17, 2003",20.0,1,NBA G League Ignite,1630700,#8 Pick in 2022 Draft
1610612740,2023,00,Kira Lewis Jr.,Kira,kira-lewis-jr,13,G,6-1,170,"APR 06, 2001",22.0,3,Alabama,1630184,#13 Pick in 2020 Draft
1610612740,2023,00,Brandon Ingram,Brandon,brandon-ingram,14,F,6-8,190,"SEP 02, 1997",26.0,7,Duke,1627742,Traded from LAL on 07/06/19
1610612740,2023,00,Jose Alvarado,Jose,jose-alvarado,15,G,6-0,179,"APR 12, 1998",25.0,2,Georgia Tech,1630631,Signed on 08/18/21
1610612740,2023,00,Jonas Valanciunas,Jonas,jonas-valanciunas,17,C,6-11,265,"MAY 06, 1992",31.0,11,Lietuvos rytas Vilnius,202685,Traded from MEM on 08/07/21
1610612740,2023,00,Larry Nance Jr.,Larry,larry-nance-jr,22,F-C,6-8,245,"JAN 01, 1993",31.0,8,Wyoming,1626204,Traded from POR on 02/08/22
1610612740,2023,00,Jordan Hawkins,Jordan,jordan-hawkins,24,G,6-5,190,"APR 29, 2002",21.0,R,Connecticut,1641722,#14 Pick in 2023 Draft
1610612740,2023,00,Trey Murphy III,Trey,trey-murphy-iii,25,F,6-8,206,"JUN 18, 2000",23.0,2,Virginia,1630530,Draft Rights Traded from MEM on 08/07/21
1610612740,2023,00,E.J. Liddell,E.J.,ej-liddell,32,F,6-6,240,"DEC 18, 2000",23.0,R,Ohio State,1630604,#41 Pick in 2022 Draft
1610612740,2023,00,Matt Ryan,Matt,matt-ryan,37,F,6-6,215,"APR 17, 1997",26.0,2,Tennessee-Chattanooga,1630346,
1610612740,2023,00,Cody Zeller,Cody,cody-zeller,40,F-C,6-11,240,"OCT 05, 1992",31.0,10,Indiana,203469,Signed on 07/06/23
1610612740,2023,00,Jeremiah Robinson-Earl,Jeremiah,jeremiah-robinson-earl,50,F,6-8,240,"NOV 03, 2000",23.0,2,Villanova,1630526,Signed on 11/03/23
