Player,Age_x,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,Guaranteed,Rk,Age_y,G,GS,MP▼,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
De'Aaron Fox,26,$32600060,$34848340,$37096620,,,,$104545020,1,26,42,42,35.6,9.7,20.7,0.47,3.0,7.9,0.38,6.7,12.8,0.526,0.543,5.0,6.9,0.721,0.8,3.2,4.0,5.4,1.8,0.4,2.5,2.5,27.5
Domantas Sabonis,27,$30600000,$41800000,$44936000,$48072000,$51208000,,$216616000,2,27,48,48,35.5,8.0,12.9,0.619,0.5,1.1,0.434,7.5,11.8,0.636,0.637,3.4,5.0,0.689,3.2,9.8,13.0,8.0,0.8,0.5,3.4,3.2,19.9
Harrison Barnes,31,$17000000,$18000000,$19000000,,,,$54000000,4,31,48,48,30.1,4.1,8.7,0.477,1.9,4.8,0.396,2.3,3.9,0.578,0.586,1.9,2.3,0.809,0.9,2.1,2.9,1.3,0.7,0.2,0.8,1.3,12.0
Kevin Huerter,25,$15669643,$16830357,$17991071,,,,$50491071,6,25,46,41,24.9,4.1,9.2,0.447,2.0,5.6,0.364,2.0,3.5,0.577,0.558,0.7,0.9,0.78,0.6,3.2,3.8,2.7,0.7,0.4,0.7,2.3,10.9
Malik Monk,25,$9945830,,,,,,$9945830,5,25,47,0,25.6,5.0,11.3,0.439,2.3,6.0,0.379,2.7,5.3,0.506,0.539,2.4,2.9,0.812,0.4,2.3,2.7,5.4,0.6,0.6,2.1,2.0,14.6
Keegan Murray,23,$8409000,$8809560,$11144093,,,,$17218560,3,23,44,44,32.9,5.9,12.8,0.465,2.4,6.5,0.365,3.5,6.2,0.571,0.559,1.4,1.8,0.792,1.3,4.1,5.4,1.6,1.2,0.6,0.8,2.6,15.6
Trey Lyles,28,$8000000,$8000000,,,,,$16000000,7,28,34,0,20.1,2.5,5.4,0.459,1.6,4.0,0.412,0.9,1.4,0.592,0.611,0.7,1.1,0.649,1.0,3.6,4.5,1.3,0.3,0.3,0.6,1.6,7.4
Sasha Vezenkov,28,$6341464,$6658536,$6975609,,,,$13000000,10,28,33,0,12.7,2.2,4.8,0.456,1.1,2.9,0.375,1.1,1.9,0.581,0.57,0.2,0.3,0.7,0.9,1.7,2.6,0.4,0.5,0.2,0.3,0.9,5.7
Davion Mitchell,25,$5063640,$6451077,,,,,$11514717,9,25,38,3,12.7,1.4,3.6,0.38,0.5,1.8,0.257,0.9,1.8,0.507,0.445,0.4,0.6,0.762,0.2,0.9,1.0,1.8,0.2,0.1,0.6,1.1,3.6
Chris Duarte,26,$4124400,$5893768,,,,,$10018168,8,26,35,11,13.2,1.3,3.6,0.36,0.6,1.9,0.313,0.7,1.7,0.414,0.444,0.5,0.7,0.75,0.4,1.5,1.8,0.9,0.5,0.1,0.6,1.7,3.7
JaVale McGee,36,$2019706,,,,,,$2019706,13,36,37,0,8.2,2.0,3.1,0.64,0.0,0.1,0.0,2.0,3.0,0.658,0.64,0.7,1.2,0.581,1.0,1.9,2.9,0.4,0.2,0.5,0.8,1.1,4.6
Alex Len,30,$2019706,,,,,,$2019706,12,30,17,0,8.8,1.1,1.7,0.621,0.0,0.1,0.0,1.1,1.6,0.667,0.621,0.2,0.6,0.4,1.4,1.9,3.3,1.1,0.2,0.5,0.6,1.1,2.4
Colby Jones,21,$2019706,$2120693,$2221677,$2406205,,,$4140399,14,21,15,0,7.3,1.1,2.8,0.381,0.1,0.9,0.077,1.0,1.9,0.517,0.393,0.1,0.2,0.667,0.6,0.8,1.4,0.6,0.3,0.1,0.3,1.0,2.3
Kessler Edwards,23,$1927896,,,,,,$1927896,15,23,33,0,4.9,0.5,1.3,0.395,0.3,0.8,0.346,0.2,0.5,0.471,0.5,0.1,0.1,0.75,0.2,0.6,0.8,0.3,0.1,0.1,0.0,0.4,1.4
Jordan Ford,25,,,,,,,,18,25,6,0,3.7,0.7,1.2,0.571,0.3,0.5,0.667,0.3,0.7,0.5,0.714,0.3,0.3,1.0,0.0,0.3,0.3,0.3,0.0,0.0,0.2,0.0,2.0
Keon Ellis,24,,,,,,,,11,24,28,3,12.2,1.3,3.0,0.434,0.9,2.4,0.382,0.4,0.5,0.667,0.59,0.4,0.6,0.647,0.3,1.0,1.3,1.3,0.5,0.4,0.5,1.4,3.9
Jalen Slawson,24,,,,,,,,17,24,5,0,3.8,0.4,0.6,0.667,0.0,0.2,0.0,0.4,0.4,1.0,0.667,0.0,0.0,,0.0,0.8,0.8,0.4,0.0,0.2,0.4,0.6,0.8
Filip Petrušev,23,$559782,,,,,,$559782,19,23,2,0,3.5,0.5,1.0,0.5,0.0,0.0,,0.5,1.0,0.5,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5
Juan Toscano-Anderson,30,,,,,,,,16,30,11,0,4.8,0.3,1.1,0.25,0.1,0.4,0.25,0.2,0.7,0.25,0.292,0.0,0.0,,0.4,0.9,1.3,0.4,0.1,0.1,0.2,1.0,0.6
