Rk,Player,Age,G,GS,MP▼,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Luka Dončić,24,41,41,37.6,11.8,24.0,.489,3.9,10.4,.374,7.9,13.7,.576,.569,7.4,9.5,.784,0.8,7.8,8.6,9.6,1.4,0.6,4.0,1.9,34.8
2,Kyrie Irving,31,27,27,33.3,9.3,19.6,.472,2.9,7.0,.411,6.4,12.6,.506,.545,3.8,4.2,.895,0.8,4.3,5.1,5.3,1.3,0.4,1.6,1.9,25.2
3,Tim Hardaway Jr.,31,46,10,30.4,6.2,14.8,.422,3.3,8.9,.368,3.0,5.9,.504,.533,2.6,2.9,.874,0.3,3.3,3.7,1.7,0.5,0.0,1.0,1.5,18.3
4,Josh Green,23,36,19,27.1,3.3,6.8,.476,1.4,3.5,.400,1.9,3.4,.554,.577,0.6,1.1,.579,0.6,2.6,3.2,2.5,0.7,0.1,1.2,2.0,8.5
5,Grant Williams,25,45,33,26.5,2.8,6.8,.410,1.7,4.5,.373,1.1,2.3,.485,.534,0.8,1.1,.729,1.0,2.6,3.5,1.8,0.5,0.6,1.1,3.0,8.1
6,Derrick Jones Jr.,26,44,43,26.0,3.7,7.6,.487,1.3,3.8,.349,2.4,3.8,.627,.575,1.3,1.8,.734,1.2,2.4,3.6,1.0,0.8,0.8,1.0,1.9,10.1
7,Dereck Lively II,19,36,35,26.0,4.2,5.6,.739,0.0,0.1,.000,4.2,5.6,.746,.739,0.9,1.6,.544,2.9,5.0,7.9,1.3,0.6,1.4,1.2,3.1,9.2
8,Maxi Kleber,32,14,3,19.8,1.6,3.9,.426,0.8,2.2,.355,0.9,1.6,.522,.528,0.8,1.1,.688,0.6,2.4,3.0,1.5,0.3,0.6,1.0,2.4,4.9
9,Dante Exum,28,32,14,19.7,3.6,6.3,.571,1.0,2.0,.477,2.7,4.3,.616,.648,1.0,1.4,.727,0.6,2.2,2.8,2.8,0.6,0.2,0.8,1.6,9.2
10,Jaden Hardy,21,44,6,16.0,2.9,7.5,.389,1.3,3.8,.351,1.6,3.7,.429,.479,0.8,1.1,.714,0.3,1.8,2.1,1.8,0.3,0.1,0.8,1.3,8.0
11,Dwight Powell,32,42,8,15.7,1.5,2.1,.713,0.0,0.0,.500,1.5,2.0,.718,.718,1.4,1.9,.734,1.8,2.1,3.9,1.7,0.5,0.4,0.6,2.1,4.4
12,Seth Curry,33,36,3,12.7,1.5,4.0,.372,0.8,2.2,.363,0.7,1.8,.385,.472,0.5,0.5,.895,0.4,1.0,1.4,0.8,0.5,0.1,0.4,0.9,4.3
13,Richaun Holmes,30,22,2,10.5,1.5,2.7,.559,0.0,0.0,,1.5,2.7,.559,.559,0.5,1.0,.571,1.5,2.0,3.5,0.6,0.1,0.4,0.5,1.5,3.5
14,A.J. Lawson,23,22,0,9.7,1.5,3.5,.447,0.5,1.7,.316,1.0,1.7,.579,.526,0.5,0.8,.706,0.5,0.8,1.3,0.6,0.4,0.1,0.5,0.8,4.2
15,Olivier-Maxence Prosper,21,25,0,9.6,0.9,2.6,.354,0.3,1.3,.250,0.6,1.3,.455,.415,0.9,1.4,.676,0.6,1.6,2.2,0.8,0.1,0.1,0.2,0.7,3.1
16,Markieff Morris,34,16,1,9.4,0.9,2.9,.319,0.6,1.8,.321,0.4,1.2,.316,.415,0.2,0.3,.750,0.3,1.5,1.8,0.7,0.3,0.1,0.6,0.7,2.6
17,Dexter Dennis,24,4,0,7.5,2.5,4.8,.526,0.3,2.0,.125,2.3,2.8,.818,.553,0.3,0.8,.333,0.3,2.0,2.3,1.0,0.0,0.3,0.8,0.3,5.5
18,Greg Brown III,22,6,0,6.7,0.8,1.8,.455,0.2,0.5,.333,0.7,1.3,.500,.500,0.7,1.5,.444,0.5,1.0,1.5,0.7,0.0,0.7,0.7,0.8,2.5
19,Brandon Williams,24,7,0,6.1,1.1,2.3,.500,0.3,0.7,.400,0.9,1.6,.545,.563,0.7,1.3,.556,0.3,0.4,0.7,1.1,0.1,0.1,0.3,0.1,3.3
