,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,Guaranteed
Jonathan Isaac,26,$17400000,$17400000,,,,,$7400000
Markelle Fultz,25,$17000000,,,,,,$2000000
Wendell Carter Jr.,24,$13050000,$11950000,$10850000,,,,$35850000
Gary Harris,29,$13000000,,,,,,$13000000
Paolo Banchero,21,$11608080,$12160800,$15334769,,,,$23768880
Joe Ingles,36,$11000000,$11000000,,,,,$11000000
Moritz Wagner,26,$8000000,$8000000,,,,,$8000000
Jalen Suggs,22,$7252080,$9188385,,,,,$16440465
Anthony Black,20,$7245480,$7607760,$7970280,$10106316,,,$14853240
Cole Anthony,23,$5539771,$12900000,$13100000,$13100000,,,$31539771
Franz Wagner,22,$5508720,$7007092,,,,,$12515812
Chuma Okeke,25,$5266713,,,,,,$5266713
Jett Howard,20,$5026800,$5278320,$5529720,$7337939,,,$10305120
Goga Bitadze,24,$2066585,,,,,,$2066585
Caleb Houstan,21,$2000000,$2019699,$2187699,,,,$2000000
Kevon Harris,26,,,,,,,
Trevelin Queen,26,,,,,,,
Admiral Schofield,26,,,,,,,
