Rk,Player,Age,G,GS,MP▼,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Ja Morant,24,9,9,35.3,8.9,18.9,.471,1.6,5.7,.275,7.3,13.2,.555,.512,5.8,7.1,.813,0.7,4.9,5.6,8.1,0.8,0.6,3.0,2.1,25.1
2,Desmond Bane,25,37,37,34.5,8.9,18.8,.474,3.3,8.6,.384,5.6,10.2,.551,.563,3.3,3.8,.864,0.9,3.6,4.6,5.3,1.0,0.5,2.7,2.9,24.4
3,Jaren Jackson Jr.,24,47,47,31.8,7.6,17.0,.444,1.7,5.4,.313,5.9,11.6,.506,.494,5.3,6.3,.832,1.2,4.4,5.6,2.0,1.0,1.6,2.2,3.5,22.1
4,Marcus Smart,29,20,20,30.3,5.1,11.9,.430,2.1,6.7,.313,3.0,5.2,.583,.519,2.2,2.8,.768,0.3,2.4,2.7,4.3,2.1,0.3,3.1,2.7,14.5
5,Vince Williams Jr.,23,38,19,25.2,2.8,6.3,.444,1.5,4.1,.377,1.3,2.2,.565,.565,1.7,2.2,.786,1.3,4.2,5.5,2.2,0.7,0.7,1.2,2.5,8.8
6,Luke Kennard,27,22,9,24.4,3.5,8.0,.432,2.7,6.1,.437,0.8,1.9,.415,.599,0.8,0.9,.895,0.4,2.7,3.1,3.1,0.5,0.0,1.0,1.0,10.4
7,Santi Aldama,23,38,12,24.1,4.0,9.2,.431,1.7,4.8,.348,2.3,4.4,.521,.521,0.9,1.5,.625,1.2,4.5,5.7,1.9,0.7,0.7,1.1,1.5,10.5
8,Bismack Biyombo,31,30,27,23.9,2.2,4.0,.563,0.0,0.0,,2.2,4.0,.563,.563,0.7,1.5,.478,1.9,4.5,6.4,1.7,0.3,1.1,1.3,2.7,5.2
9,David Roddy,22,46,12,23.0,3.1,7.8,.398,1.0,3.2,.301,2.2,4.6,.465,.460,1.0,1.3,.710,1.1,3.0,4.1,1.6,0.5,0.2,1.0,1.5,8.1
10,Xavier Tillman Sr.,25,34,13,20.6,2.6,6.3,.408,0.4,1.6,.226,2.2,4.7,.469,.437,0.5,1.3,.419,1.6,3.0,4.6,1.7,1.2,1.0,0.9,1.8,6.0
11,Scotty Pippen Jr.,23,5,2,20.2,2.8,6.2,.452,1.2,2.4,.500,1.6,3.8,.421,.548,2.0,2.8,.714,0.8,2.4,3.2,4.0,1.2,0.4,2.2,2.0,8.8
12,Ziaire Williams,22,44,9,18.8,2.7,7.0,.390,1.1,3.5,.314,1.6,3.5,.467,.469,1.1,1.3,.831,0.7,2.7,3.4,1.5,0.6,0.2,1.3,1.7,7.7
13,John Konchar,27,39,10,18.7,1.4,3.5,.407,0.6,2.0,.299,0.8,1.5,.552,.493,0.3,0.4,.786,1.2,3.1,4.3,1.7,0.7,0.9,0.6,1.2,3.7
14,Derrick Rose,35,18,7,17.8,3.4,7.6,.445,0.7,2.0,.333,2.7,5.6,.485,.489,1.1,1.2,.909,0.4,1.3,1.7,3.4,0.4,0.1,1.2,1.1,8.6
15,Jaylen Nowell,24,9,1,17.3,2.4,6.1,.400,0.4,2.6,.174,2.0,3.6,.563,.436,0.3,0.3,1.000,0.3,1.2,1.6,1.8,0.3,0.0,0.6,1.4,5.7
16,Jacob Gilyard,25,32,11,16.8,1.4,3.5,.411,1.3,2.9,.426,0.2,0.6,.333,.589,0.1,0.1,1.000,0.3,0.8,1.1,3.4,0.7,0.1,0.6,0.9,4.2
17,Gregory Jackson II,19,17,0,16.3,2.6,6.0,.431,1.3,3.3,.393,1.3,2.7,.478,.539,1.5,2.1,.722,0.8,2.1,2.9,0.8,0.4,0.5,0.6,1.1,8.0
18,Tosan Evbuomwan,22,1,0,16.0,1.0,2.0,.500,1.0,2.0,.500,0.0,0.0,,.750,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0
19,Trey Jemison,24,1,0,14.0,2.0,2.0,1.000,0.0,0.0,,2.0,2.0,1.000,1.000,1.0,1.0,1.000,1.0,2.0,3.0,0.0,1.0,1.0,0.0,2.0,5.0
20,Matthew Hurt,23,2,0,12.5,1.5,3.5,.429,1.0,2.0,.500,0.5,1.5,.333,.571,1.0,1.0,1.000,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.5,5.0
21,Jake LaRavia,22,11,0,11.1,1.5,3.9,.372,0.5,2.2,.208,1.0,1.7,.579,.430,0.3,0.4,.750,0.6,0.8,1.5,0.5,0.1,0.1,0.4,1.7,3.6
22,Kenneth Lofton Jr.,21,15,0,6.6,0.9,2.5,.378,0.2,0.7,.300,0.7,1.8,.407,.419,0.5,1.0,.533,0.1,0.9,1.0,0.9,0.2,0.2,0.4,1.0,2.6
23,Shaquille Harrison,30,3,0,2.0,0.3,0.7,.500,0.0,0.0,,0.3,0.7,.500,.500,0.0,0.0,,0.0,0.7,0.7,0.0,0.0,0.3,0.0,0.0,0.7
