Player,Age,Salary,Salary,Salary,Salary,Salary,Salary,
Julius Randle,29,$28226880,$30317760,$32408640,,,,$58544640
Jalen Brunson,27,$26346666,$24960001,$24960001,,,,$51306667
Evan Fournier,31,$18857143,$19000000,,,,,$37857143
OG Anunoby,26,$18642857,$19928571,,,,,$18642857
Mitchell Robinson,25,$15681818,$14318182,$12954546,,,,$42954546
Josh Hart,28,$12960000,$18144000,$19472240,$20923760,$22375280,,$71500000
Donte DiVincenzo,27,$10900000,$11445000,$11990000,$12535000,,,$46870000
Isaiah Hartenstein,25,$9245121,,,,,,$9245121
Precious Achiuwa,24,$4379527,,,,,,$4379527
Malachi Flynn,25,$3873025,,,,,,$3873025
Quentin Grimes,23,$2385720,$4296682,,,,,$6682402
Ryan Arcidiacono,29,$2019706,,,,,,$2019706
Jericho Sims,25,$1927896,$2092344,,,,,$600000
Miles McBride,23,$1836096,,,,,,$1836096
Taj Gibson,38,,,,,,,
Charlie Brown Jr.,26,,,,,,,
Jacob Toppin,23,,,,,,,
Duane Washington Jr.,23,,,,,,,
Dylan Windler,27,$2019706,,,,,,$2019706
DaQuan Jeffries,26,$831385,,,,,,$831385
Team Totals,,$160133546,$144502540,$101785427,$33458760,$22375280,,$359162821
