Player,Age_x,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,Guaranteed,Rk,Age_y,G,GS,MP▼,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Luka Dončić,24,$40064220,$43031940,$45999660,$48967380,,,$129095820,1,24,41,41,37.6,11.8,24.0,0.489,3.9,10.4,0.374,7.9,13.7,0.576,0.569,7.4,9.5,0.784,0.8,7.8,8.6,9.6,1.4,0.6,4.0,1.9,34.8
Kyrie Irving,31,$37037037,$40000000,$42962963,,,,$77037037,2,31,27,27,33.3,9.3,19.6,0.472,2.9,7.0,0.411,6.4,12.6,0.506,0.545,3.8,4.2,0.895,0.8,4.3,5.1,5.3,1.3,0.4,1.6,1.9,25.2
Tim Hardaway Jr.,31,$17897728,$16193183,,,,,$34090911,3,31,46,10,30.4,6.2,14.8,0.422,3.3,8.9,0.368,3.0,5.9,0.504,0.533,2.6,2.9,0.874,0.3,3.3,3.7,1.7,0.5,0.0,1.0,1.5,18.3
Grant Williams,25,$12405000,$13025250,$13645500,$14265750,,,$53341500,5,25,45,33,26.5,2.8,6.8,0.41,1.7,4.5,0.373,1.1,2.3,0.485,0.534,0.8,1.1,0.729,1.0,2.6,3.5,1.8,0.5,0.6,1.1,3.0,8.1
Richaun Holmes,30,$12046020,$12876780,,,,,$12046020,13,30,22,2,10.5,1.5,2.7,0.559,0.0,0.0,,1.5,2.7,0.559,0.559,0.5,1.0,0.571,1.5,2.0,3.5,0.6,0.1,0.4,0.5,1.5,3.5
Maxi Kleber,32,$11000000,$11000000,$11000000,,,,$33000000,8,32,14,3,19.8,1.6,3.9,0.426,0.8,2.2,0.355,0.9,1.6,0.522,0.528,0.8,1.1,0.688,0.6,2.4,3.0,1.5,0.3,0.6,1.0,2.4,4.9
Dereck Lively II,19,$4775640,$5014560,$5253360,$7239131,,,$9790200,7,19,36,35,26.0,4.2,5.6,0.739,0.0,0.1,0.0,4.2,5.6,0.746,0.739,0.9,1.6,0.544,2.9,5.0,7.9,1.3,0.6,1.4,1.2,3.1,9.2
Josh Green,23,$4765339,$12654321,$13666667,$14679012,,,$45765339,4,23,36,19,27.1,3.3,6.8,0.476,1.4,3.5,0.4,1.9,3.4,0.554,0.577,0.6,1.1,0.579,0.6,2.6,3.2,2.5,0.7,0.1,1.2,2.0,8.5
Seth Curry,33,$4000000,$4000000,,,,,$8000000,12,33,36,3,12.7,1.5,4.0,0.372,0.8,2.2,0.363,0.7,1.8,0.385,0.472,0.5,0.5,0.895,0.4,1.0,1.4,0.8,0.5,0.1,0.4,0.9,4.3
Dwight Powell,32,$4000000,$4000000,$4000000,,,,$8000000,11,32,42,8,15.7,1.5,2.1,0.713,0.0,0.0,0.5,1.5,2.0,0.718,0.718,1.4,1.9,0.734,1.8,2.1,3.9,1.7,0.5,0.4,0.6,2.1,4.4
Dante Exum,28,$3000000,$3150000,,,,,$3000000,9,28,32,14,19.7,3.6,6.3,0.571,1.0,2.0,0.477,2.7,4.3,0.616,0.648,1.0,1.4,0.727,0.6,2.2,2.8,2.8,0.6,0.2,0.8,1.6,9.2
Olivier-Maxence Prosper,21,$2733720,$2870400,$3007080,$5259383,,,$5604120,15,21,25,0,9.6,0.9,2.6,0.354,0.3,1.3,0.25,0.6,1.3,0.455,0.415,0.9,1.4,0.676,0.6,1.6,2.2,0.8,0.1,0.1,0.2,0.7,3.1
Derrick Jones Jr.,26,$2019706,,,,,,$2019706,6,26,44,43,26.0,3.7,7.6,0.487,1.3,3.8,0.349,2.4,3.8,0.627,0.575,1.3,1.8,0.734,1.2,2.4,3.6,1.0,0.8,0.8,1.0,1.9,10.1
Markieff Morris,34,$2019706,,,,,,$2019706,16,34,16,1,9.4,0.9,2.9,0.319,0.6,1.8,0.321,0.4,1.2,0.316,0.415,0.2,0.3,0.75,0.3,1.5,1.8,0.7,0.3,0.1,0.6,0.7,2.6
Jaden Hardy,21,$1719864,$2019699,,,,,$2119864,10,21,44,6,16.0,2.9,7.5,0.389,1.3,3.8,0.351,1.6,3.7,0.429,0.479,0.8,1.1,0.714,0.3,1.8,2.1,1.8,0.3,0.1,0.8,1.3,8.0
A.J. Lawson,23,,,,,,,,14,23,22,0,9.7,1.5,3.5,0.447,0.5,1.7,0.316,1.0,1.7,0.579,0.526,0.5,0.8,0.706,0.5,0.8,1.3,0.6,0.4,0.1,0.5,0.8,4.2
Brandon Williams,24,,,,,,,,19,24,7,0,6.1,1.1,2.3,0.5,0.3,0.7,0.4,0.9,1.6,0.545,0.563,0.7,1.3,0.556,0.3,0.4,0.7,1.1,0.1,0.1,0.3,0.1,3.3
Greg Brown III,22,,,,,,,,18,22,6,0,6.7,0.8,1.8,0.455,0.2,0.5,0.333,0.7,1.3,0.5,0.5,0.7,1.5,0.444,0.5,1.0,1.5,0.7,0.0,0.7,0.7,0.8,2.5
