Player,Age,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,Guaranteed
Luka Dončić,24,$40064220,$43031940,$45999660,$48967380,,,$129095820
Kyrie Irving,31,$37037037,$40000000,$42962963,,,,$77037037
Tim Hardaway Jr.,31,$17897728,$16193183,,,,,$34090911
Grant Williams,25,$12405000,$13025250,$13645500,$14265750,,,$53341500
Richaun Holmes,30,$12046020,$12876780,,,,,$12046020
Maxi Kleber,32,$11000000,$11000000,$11000000,,,,$33000000
Dereck Lively II,19,$4775640,$5014560,$5253360,$7239131,,,$9790200
Josh Green,23,$4765339,$12654321,$13666667,$14679012,,,$45765339
Seth Curry,33,$4000000,$4000000,,,,,$8000000
Dwight Powell,32,$4000000,$4000000,$4000000,,,,$8000000
Dante Exum,28,$3000000,$3150000,,,,,$3000000
Olivier-Maxence Prosper,21,$2733720,$2870400,$3007080,$5259383,,,$5604120
Derrick Jones Jr.,26,$2019706,,,,,,$2019706
Markieff Morris,34,$2019706,,,,,,$2019706
Jaden Hardy,21,$1719864,$2019699,,,,,$2119864
A.J. Lawson,23,,,,,,,
Brandon Williams,24,,,,,,,
Greg Brown III,22,,,,,,,
JaVale McGee,36,$2348324,$2208856,$2208856,$2208856,$2208856,,$11183748
