Player,Age_x,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,Guaranteed,Rk,Age_y,G,GS,MP▼,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Paul George,33,$45640084,$48787676,,,,,$45640084,3,33,44,44,33.9,8.0,17.3,0.464,3.4,8.3,0.412,4.6,9.1,0.511,0.562,3.4,3.8,0.909,0.6,4.8,5.4,3.6,1.6,0.4,2.0,2.9,22.9
Kawhi Leonard,32,$45640084,,,,,,$45640084,1,32,43,43,34.3,9.1,17.2,0.53,2.3,5.1,0.45,6.8,12.1,0.565,0.597,3.6,4.1,0.886,1.1,5.1,6.3,3.7,1.7,0.9,1.5,1.5,24.1
James Harden,34,$35640000,,,,,,$35640000,2,34,42,42,34.1,5.0,11.3,0.444,2.6,6.5,0.405,2.4,4.8,0.498,0.561,4.2,4.8,0.877,0.4,4.5,4.9,8.5,1.2,0.9,2.5,2.1,16.9
Norman Powell,30,$18000000,$19241379,$20482758,,,,$57724137,5,30,47,0,25.4,4.7,9.6,0.496,2.1,4.6,0.452,2.7,5.0,0.536,0.604,1.9,2.3,0.849,0.2,2.5,2.7,1.1,0.5,0.4,0.9,1.9,13.5
P.J. Tucker,38,$11014500,$11539000,,,,,$11014500,14,38,12,0,14.4,0.3,1.2,0.286,0.3,0.9,0.273,0.1,0.3,0.333,0.393,0.3,0.3,1.0,1.3,1.2,2.4,0.7,0.5,0.1,0.2,2.2,1.2
Ivica Zubac,26,$10933333,$11743210,,,,,$22676543,4,26,38,38,27.1,5.3,8.1,0.655,0.0,0.0,,5.3,8.1,0.655,0.655,1.8,2.8,0.648,3.3,6.5,9.7,1.3,0.2,1.4,1.1,2.9,12.4
Terance Mann,27,$10576923,$11423077,,,,,$22000000,6,27,41,37,25.1,3.0,6.4,0.46,0.9,3.0,0.298,2.1,3.5,0.599,0.529,0.9,1.2,0.771,1.2,1.9,3.1,1.8,0.6,0.3,0.6,1.8,7.7
Mason Plumlee,33,$5000000,,,,,,$5000000,10,33,17,8,18.0,2.5,3.8,0.656,0.0,0.0,,2.5,3.8,0.656,0.656,1.5,2.5,0.619,1.6,4.2,5.8,1.2,0.4,0.4,0.6,1.5,6.5
Russell Westbrook,35,$3835738,$4027525,,,,,$7863263,8,35,47,10,23.0,4.6,9.8,0.472,0.7,2.3,0.296,4.0,7.5,0.525,0.506,1.6,2.4,0.67,1.5,4.1,5.7,4.8,1.1,0.4,2.1,1.8,11.6
Amir Coffey,26,$3666667,$3938271,,,,,$7604938,12,26,35,7,16.8,2.1,3.6,0.567,0.7,1.7,0.426,1.3,1.9,0.697,0.669,0.8,0.9,0.871,0.3,1.3,1.7,0.7,0.5,0.1,0.4,1.2,5.6
Kobe Brown,24,$2413320,$2533920,$2654880,$4792059,,,$4947240,16,24,30,0,9.0,0.7,2.0,0.367,0.4,1.3,0.289,0.4,0.7,0.5,0.458,0.0,0.1,0.5,0.3,1.1,1.4,0.6,0.2,0.1,0.2,1.3,1.9
Bones Hyland,23,$2306400,$4158439,,,,,$6464839,15,23,19,2,13.2,2.3,6.3,0.367,1.1,3.4,0.313,1.3,2.9,0.429,0.45,0.5,0.6,0.833,0.2,0.7,0.9,1.7,0.5,0.1,1.2,1.4,6.2
Brandon Boston Jr.,22,$1836096,,,,,,$1836096,17,22,13,0,7.8,1.5,3.8,0.408,0.5,1.3,0.353,1.1,2.5,0.438,0.469,0.5,0.6,0.875,0.5,0.5,1.1,0.4,0.2,0.2,0.3,1.1,4.1
Joshua Primo,21,$1764341,$2196970,,,,,$1764341,20,21,1,0,5.0,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0
Daniel Theis,31,$1741126,,,,,,$1741126,11,31,36,1,17.6,2.7,4.9,0.542,0.4,1.0,0.405,2.3,3.9,0.579,0.585,0.8,1.1,0.707,1.6,2.2,3.7,1.1,0.5,0.9,0.7,2.4,6.6
Xavier Moon,29,,,,,,,,18,29,2,0,6.0,0.5,1.0,0.5,0.0,0.5,0.0,0.5,0.5,1.0,0.5,0.0,0.0,,0.0,1.0,1.0,1.5,0.0,0.0,0.5,0.5,1.0
Jordan Miller,24,,,,,,,,21,24,4,0,4.0,0.8,1.3,0.6,0.3,0.3,1.0,0.5,1.0,0.5,0.7,0.0,0.0,,0.5,0.3,0.8,0.0,0.0,0.0,0.3,0.5,1.8
Moussa Diabaté,22,,,,,,,,19,22,10,0,5.8,0.9,1.8,0.5,0.0,0.0,,0.9,1.8,0.5,0.5,0.9,1.2,0.75,1.4,0.6,2.0,0.4,0.4,0.0,0.2,0.4,2.7
