Player,MP,2023-24 Salary
Brandon Ingram,33.2,$35802469
CJ McCollum,32.3,$35802469
Zion Williamson,30.4,$34005250
Herbert Jones,29.0,$12015150
Jonas Valačiūnas,26.8,$15435000
Trey Murphy III,26.1,$3359280
Dyson Daniels,22.5,$5784120
Jordan Hawkins,21.6,$4310160
Naji Marshall,18.7,$1930681
Larry Nance Jr,17.0,$10375000
Jose Alvarado,17.0,$1836096
Kira Lewis Jr.,9.7,$5722116
Cody Zeller,9.0,$2019706
E.J. Liddell,2.8,$1801769
