Player,Age_x,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,Guaranteed,Rk,Age_y,G,GS,MP▼,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
LeBron James,39,$47607350,$51415938,,,,,$47607350,2,39,45,45,34.8,9.3,17.9,0.52,2.2,5.4,0.398,7.2,12.5,0.574,0.581,4.0,5.6,0.728,0.9,6.5,7.4,7.6,1.3,0.6,3.3,1.2,24.9
Anthony Davis,30,$40600080,$43219440,$60507216,$65347793,$70188370,,$279862899,1,30,47,47,35.9,9.4,17.0,0.551,0.4,1.2,0.309,9.0,15.9,0.568,0.561,5.5,6.9,0.807,3.1,9.0,12.2,3.7,1.1,2.4,2.1,2.5,24.7
D'Angelo Russell,27,$17307693,$18692307,,,,,$36000000,3,27,47,40,30.8,6.3,13.5,0.465,2.6,6.2,0.416,3.7,7.3,0.506,0.56,1.9,2.4,0.795,0.4,2.3,2.7,6.2,0.8,0.5,1.9,2.0,17.0
Rui Hachimura,25,$15740741,$17000000,$18259259,,,,$51000000,8,25,37,8,23.0,4.3,8.6,0.494,1.2,3.0,0.391,3.1,5.7,0.548,0.561,1.6,2.2,0.753,0.8,2.9,3.6,1.1,0.7,0.2,0.8,1.4,11.4
Austin Reaves,25,$12015150,$12976362,$13937574,$14898786,,,$38929086,4,25,51,26,30.8,5.4,11.1,0.488,1.7,4.7,0.363,3.7,6.4,0.58,0.565,3.2,3.7,0.861,0.7,3.2,4.0,5.2,0.9,0.2,2.1,1.8,15.6
Gabe Vincent,27,$10500000,$11000000,$11500000,,,,$33000000,6,27,5,0,25.4,2.4,6.4,0.375,0.4,3.4,0.118,2.0,3.0,0.667,0.406,0.2,0.4,0.5,0.4,0.6,1.0,3.0,1.2,0.0,0.4,2.4,5.4
Jarred Vanderbilt,24,$4698000,$10714286,$11571429,$12428571,$13285714,,$39412286,9,24,29,6,20.0,2.0,3.9,0.518,0.3,0.9,0.296,1.8,3.0,0.586,0.553,0.8,1.2,0.667,1.4,3.3,4.8,1.2,1.2,0.2,1.0,1.5,5.2
Taurean Prince,29,$4516000,,,,,,$4516000,5,29,48,47,30.5,3.5,8.1,0.432,2.1,5.3,0.388,1.4,2.8,0.515,0.559,0.6,0.8,0.75,0.2,2.7,2.9,1.8,0.9,0.5,0.9,2.3,9.7
Jalen Hood-Schifino,20,$3695040,$3879840,$4064640,$6243288,,,$7574880,14,20,15,0,6.1,0.5,2.3,0.229,0.1,0.7,0.091,0.5,1.6,0.292,0.243,0.7,1.1,0.625,0.1,0.5,0.7,0.5,0.2,0.1,0.5,0.7,1.8
Christian Wood,28,$2709849,$3036040,,,,,$2709849,10,28,45,1,18.0,2.4,5.4,0.456,0.7,2.3,0.305,1.7,3.0,0.574,0.523,1.3,1.9,0.686,0.8,4.4,5.2,1.0,0.3,0.7,1.1,1.4,6.9
Jaxson Hayes,23,$2165000,$2463946,,,,,$2165000,12,23,40,3,10.7,1.5,2.1,0.702,0.0,0.1,0.0,1.5,2.0,0.747,0.702,0.6,1.0,0.615,0.6,1.4,2.0,0.5,0.4,0.4,0.5,1.7,3.6
Cam Reddish,24,$2165000,$2463946,,,,,$2165000,7,24,35,26,23.3,2.4,5.9,0.405,0.9,2.7,0.337,1.5,3.1,0.464,0.483,1.0,1.3,0.783,0.5,1.9,2.4,1.3,1.2,0.3,0.9,1.6,6.7
Max Christie,20,$1719864,,,,,,$1719864,11,20,41,6,17.2,1.8,4.3,0.423,0.7,2.1,0.349,1.1,2.2,0.494,0.509,0.6,0.8,0.788,0.2,2.4,2.6,1.0,0.4,0.3,0.8,1.2,5.0
Maxwell Lewis,21,$1119563,$1891857,$2221677,$2406205,,,$3011420,17,21,18,0,3.7,0.2,0.7,0.25,0.1,0.2,0.333,0.1,0.5,0.222,0.292,0.0,0.0,,0.1,0.1,0.2,0.2,0.1,0.0,0.3,0.2,0.4
Skylar Mays,26,,,,,,,,15,26,5,0,6.0,1.2,2.0,0.6,0.4,0.4,1.0,0.8,1.6,0.5,0.7,0.0,0.0,,0.2,0.4,0.6,1.2,0.4,0.0,0.0,0.8,2.8
Dylan Windler,27,,,,,,,,19,27,3,0,3.0,1.0,1.7,0.6,1.0,1.3,0.75,0.0,0.3,0.0,0.9,0.0,0.0,,0.0,0.7,0.7,0.7,0.0,0.0,0.0,0.3,3.0
Colin Castleton,23,,,,,,,,13,23,5,0,6.4,1.2,1.8,0.667,0.0,0.0,,1.2,1.8,0.667,0.667,0.8,0.8,1.0,0.8,1.0,1.8,0.6,0.0,0.0,0.2,1.2,3.2
