Player,Age,Salary,Salary,Salary,Salary,Salary,Salary,
CJ McCollum,32,$35802469,$33333333,$30666666,,,,$99802468
Zion Williamson,23,$34005250,$36725670,$39446090,$42166510,$44886930,,$197230450
Brandon Ingram,26,$33833400,$36016200,,,,,$69849600
Jonas Valančiūnas,31,$15435000,,,,,,$15435000
Herbert Jones,25,$12015150,$12976362,$13937574,$14898786,,,$53827872
Larry Nance Jr.,30,$10375000,$11205000,,,,,$21580000
Dyson Daniels,20,$5784120,$6059520,$7707709,,,,$11843640
Kira Lewis Jr.,22,$5722116,,,,,,$5722116
Jordan Hawkins,21,$4310160,$4525680,$4741320,$7021895,,,$8835840
Trey Murphy III,23,$3359280,$5159854,,,,,$8519134
Cody Zeller,31,$2019706,,,,,,$2019706
Naji Marshall,25,$1930681,,,,,,$1930681
Jose Alvarado,25,$1836096,$1988598,,,,,
E.J. Liddell,22,$1801769,$2120693,$2301587,,,,$3922462
Jeremiah Robinson-Earl,23,,,,,,,
Matt Ryan,26,,,,,,,
