Rk,Player,Age,G,GS,MP▼,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Anthony Davis,30,47,47,35.9,9.4,17.0,.551,0.4,1.2,.309,9.0,15.9,.568,.561,5.5,6.9,.807,3.1,9.0,12.2,3.7,1.1,2.4,2.1,2.5,24.7
2,LeBron James,39,45,45,34.8,9.3,17.9,.520,2.2,5.4,.398,7.2,12.5,.574,.581,4.0,5.6,.728,0.9,6.5,7.4,7.6,1.3,0.6,3.3,1.2,24.9
3,D'Angelo Russell,27,47,40,30.8,6.3,13.5,.465,2.6,6.2,.416,3.7,7.3,.506,.560,1.9,2.4,.795,0.4,2.3,2.7,6.2,0.8,0.5,1.9,2.0,17.0
4,Austin Reaves,25,51,26,30.8,5.4,11.1,.488,1.7,4.7,.363,3.7,6.4,.580,.565,3.2,3.7,.861,0.7,3.2,4.0,5.2,0.9,0.2,2.1,1.8,15.6
5,Taurean Prince,29,48,47,30.5,3.5,8.1,.432,2.1,5.3,.388,1.4,2.8,.515,.559,0.6,0.8,.750,0.2,2.7,2.9,1.8,0.9,0.5,0.9,2.3,9.7
6,Gabe Vincent,27,5,0,25.4,2.4,6.4,.375,0.4,3.4,.118,2.0,3.0,.667,.406,0.2,0.4,.500,0.4,0.6,1.0,3.0,1.2,0.0,0.4,2.4,5.4
7,Cam Reddish,24,35,26,23.3,2.4,5.9,.405,0.9,2.7,.337,1.5,3.1,.464,.483,1.0,1.3,.783,0.5,1.9,2.4,1.3,1.2,0.3,0.9,1.6,6.7
8,Rui Hachimura,25,37,8,23.0,4.3,8.6,.494,1.2,3.0,.391,3.1,5.7,.548,.561,1.6,2.2,.753,0.8,2.9,3.6,1.1,0.7,0.2,0.8,1.4,11.4
9,Jarred Vanderbilt,24,29,6,20.0,2.0,3.9,.518,0.3,0.9,.296,1.8,3.0,.586,.553,0.8,1.2,.667,1.4,3.3,4.8,1.2,1.2,0.2,1.0,1.5,5.2
10,Christian Wood,28,45,1,18.0,2.4,5.4,.456,0.7,2.3,.305,1.7,3.0,.574,.523,1.3,1.9,.686,0.8,4.4,5.2,1.0,0.3,0.7,1.1,1.4,6.9
11,Max Christie,20,41,6,17.2,1.8,4.3,.423,0.7,2.1,.349,1.1,2.2,.494,.509,0.6,0.8,.788,0.2,2.4,2.6,1.0,0.4,0.3,0.8,1.2,5.0
12,Jaxson Hayes,23,40,3,10.7,1.5,2.1,.702,0.0,0.1,.000,1.5,2.0,.747,.702,0.6,1.0,.615,0.6,1.4,2.0,0.5,0.4,0.4,0.5,1.7,3.6
13,Colin Castleton,23,5,0,6.4,1.2,1.8,.667,0.0,0.0,,1.2,1.8,.667,.667,0.8,0.8,1.000,0.8,1.0,1.8,0.6,0.0,0.0,0.2,1.2,3.2
14,Jalen Hood-Schifino,20,15,0,6.1,0.5,2.3,.229,0.1,0.7,.091,0.5,1.6,.292,.243,0.7,1.1,.625,0.1,0.5,0.7,0.5,0.2,0.1,0.5,0.7,1.8
15,Skylar Mays,26,5,0,6.0,1.2,2.0,.600,0.4,0.4,1.000,0.8,1.6,.500,.700,0.0,0.0,,0.2,0.4,0.6,1.2,0.4,0.0,0.0,0.8,2.8
16,D'Moi Hodge,25,7,0,5.9,0.7,2.1,.333,0.4,1.7,.250,0.3,0.4,.667,.433,0.1,0.3,.500,0.0,0.0,0.0,0.7,0.1,0.1,0.1,0.6,2.0
17,Maxwell Lewis,21,18,0,3.7,0.2,0.7,.250,0.1,0.2,.333,0.1,0.5,.222,.292,0.0,0.0,,0.1,0.1,0.2,0.2,0.1,0.0,0.3,0.2,0.4
18,Alex Fudge,20,4,0,3.5,0.3,1.5,.167,0.0,0.5,.000,0.3,1.0,.250,.167,0.5,0.5,1.000,0.5,0.0,0.5,0.0,0.0,0.0,0.3,0.3,1.0
19,Dylan Windler,27,3,0,3.0,1.0,1.7,.600,1.0,1.3,.750,0.0,0.3,.000,.900,0.0,0.0,,0.0,0.7,0.7,0.7,0.0,0.0,0.0,0.3,3.0
