,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,Guaranteed
Darius Garland,24,$34005250,$36725670,$39446090,$42166510,$44886930,,$197230450
Donovan Mitchell,27,$33162030,$35410310,$37096620,,,,$68572340
Jarrett Allen,25,$20000000,$20000000,$20000000,,,,$60000000
Caris LeVert,29,$15384616,$16615384,,,,,$32000000
Max Strus,27,$14487684,$15212068,$15936452,$16660836,,,$62297040
Isaac Okoro,23,$8920795,,,,,,$8920795
Evan Mobley,22,$8882640,$11227657,,,,,$20110297
Georges Niang,30,$8800000,$8500000,$8200000,,,,$25500000
Dean Wade,27,$5709877,$6166667,$6623456,,,,$11876544
Damian Jones,28,$2586665,,,,,,$2586665
Ty Jerome,26,$2439025,$2560975,,,,,$5000000
Tristan Thompson,32,$2019706,,,,,,
Sam Merrill,27,$1997238,$2164993,,,,,$4162231
Isaiah Mobley,24,,,,,,,
Craig Porter Jr.,23,,,,,,,
Emoni Bates,20,,,,,,,
Ricky Rubio,33,$3695311,$1301031,,,,,$4996342
Pete Nance,23,,,,,,,
