Player,Age,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,Guaranteed
Jordan Poole,24,$27455357,$29651786,$31848215,$34044642,,,$123000000
Kyle Kuzma,28,$25568182,$23522727,$21477272,$19431819,,,$90000000
Tyus Jones,27,$14000000,,,,,,$14000000
Marvin Bagley III,24,$12500000,$12500000,,,,,$25000000
Daniel Gafford,25,$12402000,$13394160,$14386320,,,,$40182480
Landry Shamet,26,$10250000,$11000000,$11750000,,,,$33000000
Delon Wright,31,$8195122,,,,,,$8195122
Bilal Coulibaly,19,$6614280,$6945240,$7275600,$9240012,,,$13559520
Deni Avdija,23,$6263188,$15625000,$14375000,$13125000,$11875000,,$61263188
Johnny Davis,21,$5050800,$5291160,$6746229,,,,$10341960
Corey Kispert,24,$3722040,$5705887,,,,,$9427927
Patrick Baldwin Jr.,21,$2337720,$2448840,$4420156,,,,$4786560
Anthony Gill,31,$1997238,,,,,,$1997238
Isaiah Livers,25,$1836096,,,,,,$1836096
Jared Butler,23,,,,,,,
Eugene Omoruyi,26,,,,,,,
Jules Bernard,24,,,,,,,
Taj Gibson,38,$2019706,,,,,,$2019706
Xavier Cooks,28,$1719864,,,,,,$1719864
Ryan Rollins,21,$1719864,$600000,,,,,$2319864
Hamidou Diallo,25,,,,,,,
Trey Jemison,24,,,,,,,
