Player,Age,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,Guaranteed
De'Aaron Fox,26,$32600060,$34848340,$37096620,,,,$104545020
Domantas Sabonis,27,$30600000,$41800000,$44936000,$48072000,$51208000,,$216616000
Harrison Barnes,31,$17000000,$18000000,$19000000,,,,$54000000
Kevin Huerter,25,$15669643,$16830357,$17991071,,,,$50491071
Malik Monk,25,$9945830,,,,,,$9945830
Keegan Murray,23,$8409000,$8809560,$11144093,,,,$17218560
Trey Lyles,28,$8000000,$8000000,,,,,$16000000
Sasha Vezenkov,28,$6341464,$6658536,$6975609,,,,$13000000
Davion Mitchell,25,$5063640,$6451077,,,,,$11514717
Chris Duarte,26,$4124400,$5893768,,,,,$10018168
JaVale McGee,36,$2019706,,,,,,$2019706
Alex Len,30,$2019706,,,,,,$2019706
Colby Jones,21,$2019706,$2120693,$2221677,$2406205,,,$4140399
Kessler Edwards,23,$1927896,,,,,,$1927896
Jordan Ford,25,,,,,,,
Keon Ellis,24,,,,,,,
Jalen Slawson,24,,,,,,,
Filip Petrušev,23,$559782,,,,,,$559782
Nerlens Noel,29,$300000,,,,,,$300000
Neemias Queta,24,$250000,,,,,,$250000
