Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Bam Adebayo,26,45,45,34.6,7.6,15.0,.510,0.0,0.2,.091,7.6,14.8,.517,.510,4.9,6.3,.784,2.3,8.4,10.6,4.2,1.1,1.0,2.4,2.5,20.2
2,Jimmy Butler,34,37,37,33.9,6.7,13.4,.500,1.0,2.3,.440,5.7,11.1,.512,.537,7.0,8.1,.869,2.0,3.4,5.5,4.6,1.3,0.3,1.7,1.1,21.4
3,Tyler Herro,24,35,35,33.7,7.9,18.1,.437,3.3,8.2,.396,4.7,9.9,.471,.527,1.9,2.3,.835,0.5,4.8,5.3,4.4,0.8,0.1,2.2,1.4,21.0
4,Terry Rozier,29,10,9,29.9,4.6,12.8,.359,1.1,4.7,.234,3.5,8.1,.432,.402,2.3,2.4,.958,1.0,3.5,4.5,5.6,0.8,0.2,1.1,1.9,12.6
5,Jaime Jaquez Jr.,22,49,16,29.5,5.0,10.1,.492,0.9,2.9,.321,4.1,7.3,.559,.537,2.0,2.4,.815,1.2,2.7,3.9,2.6,1.1,0.2,1.7,2.4,12.9
6,Kyle Lowry,37,37,35,28.0,2.8,6.5,.426,1.7,4.4,.385,1.1,2.2,.506,.554,0.9,1.1,.833,0.7,2.8,3.5,4.0,1.1,0.4,1.4,2.5,8.2
7,Duncan Robinson,29,50,19,27.4,4.6,10.1,.459,2.8,6.8,.412,1.8,3.3,.558,.598,1.3,1.5,.890,0.2,2.2,2.4,2.8,0.6,0.2,1.3,2.3,13.3
8,Caleb Martin,28,38,17,26.6,3.9,8.6,.451,1.1,3.2,.350,2.8,5.4,.510,.515,1.2,1.6,.763,1.2,3.3,4.5,2.1,0.8,0.3,1.1,2.1,10.0
9,Josh Richardson,30,43,6,25.7,3.6,8.1,.444,1.5,4.4,.347,2.0,3.7,.561,.539,1.2,1.3,.944,0.4,2.4,2.8,2.4,0.6,0.3,0.8,1.8,9.9
10,Haywood Highsmith,27,40,24,21.2,2.1,5.1,.421,1.1,3.0,.367,1.0,2.1,.500,.530,0.5,0.7,.808,0.8,2.0,2.8,1.1,1.0,0.5,0.6,2.0,5.9
11,Kevin Love,35,44,5,17.6,2.8,6.5,.440,1.6,4.5,.347,1.3,1.9,.659,.562,1.7,2.2,.776,1.0,5.2,6.3,2.3,0.4,0.2,0.8,1.8,9.0
12,Nikola Jović,20,22,14,16.5,2.1,4.9,.430,1.1,2.5,.455,1.0,2.4,.404,.547,0.6,1.1,.583,0.8,3.4,4.2,1.9,0.3,0.3,1.0,1.9,6.0
13,Dru Smith,26,9,0,14.6,1.7,3.7,.455,0.8,1.9,.412,0.9,1.8,.500,.561,0.2,0.2,1.000,0.7,0.9,1.6,1.6,1.0,0.3,0.6,1.3,4.3
14,Jamal Cain,24,16,1,14.1,1.8,4.3,.420,0.5,1.6,.308,1.3,2.7,.488,.478,1.1,1.4,.783,0.8,1.2,2.0,0.3,0.6,0.3,0.3,1.1,5.3
15,Thomas Bryant,26,25,3,10.4,1.8,3.1,.571,0.0,0.2,.000,1.8,2.9,.603,.571,0.7,0.9,.818,1.0,2.1,3.1,0.6,0.2,0.2,0.6,1.0,4.2
16,Orlando Robinson,23,24,7,10.0,1.3,2.6,.516,0.3,0.5,.538,1.0,2.0,.510,.573,0.8,1.0,.750,0.8,2.0,2.8,1.1,0.3,0.3,0.6,1.3,3.7
17,R.J. Hampton,22,8,2,9.5,0.5,1.8,.286,0.1,1.0,.125,0.4,0.8,.500,.321,0.1,0.3,.500,0.3,0.5,0.8,1.0,0.0,0.0,0.4,1.0,1.3
18,Alondes Williams,24,1,0,6.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
19,Cole Swider,24,10,0,5.0,0.9,2.3,.391,0.5,1.7,.294,0.4,0.6,.667,.500,0.2,0.2,1.000,0.1,0.2,0.3,0.4,0.1,0.1,0.6,0.2,2.5
