Player,Age,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,Guaranteed
Pascal Siakam,29,$37893408,,,,,,$37893408
Myles Turner,27,$20975000,$19928500,,,,,$40903500
Buddy Hield,31,$19279841,,,,,,$19279841
T.J. McConnell,31,$8700000,$9300000,,,,,$13700000
Bennedict Mathurin,21,$6916080,$7245720,$9187573,,,,$14161800
Obi Toppin,25,$6803012,,,,,,$6803012
Jarace Walker,20,$6059520,$6362520,$6665520,$8478542,,,$12422040
Tyrese Haliburton,23,$5808435,$35500000,$38340000,$41180000,$44020000,$46860000,$211708435
Aaron Nesmith,24,$5634257,$11000000,$11000000,$11000000,,,$38634257
Jalen Smith,23,$5043773,$5417386,,,,,$5043773
Isaiah Jackson,22,$2696280,$4435381,,,,,$7131661
Ben Sheppard,22,$2537160,$2663880,$2790720,$5031669,,,$5201040
Andrew Nembhard,24,$2131905,$2019699,$2187451,,,,$4151604
Isaiah Wong,23,,,,,,,
Kendall Brown,20,,,,,,,
Oscar Tshiebwe,24,,,,,,,
James Johnson,36,,,,,,,
Daniel Theis,31,$6928876,,,,,,$6928876
Nik Stauskas,30,$702311,$702310,,,,,$1404621
Juwan Morgan,26,$576230,$576229,,,,,$1152459
Malik Fitts,26,$555217,$555216,,,,,$1110433
