No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
0,Donte DiVincenzo,SG,6-4,203,January 31 1997,us,5,Villanova
3,Josh Hart,SF,6-4,215,March 6 1995,us,6,Villanova
11,Jalen Brunson,PG,6-2,190,August 31 1996,us,5,Villanova
30,Julius Randle,PF,6-8,250,November 29 1994,us,9,Kentucky
55,Isaiah Hartenstein,C,7-0,250,May 5 1998,us,5,
6,Quentin Grimes,SG,6-5,205,May 8 2000,us,2,Kansas Houston
2,Miles McBride,PG,6-2,200,September 8 2000,us,2,West Virginia
45,Jericho Sims,C,6-10,245,October 20 1998,us,2,Texas
23,Mitchell Robinson,C,7-0,240,April 1 1998,us,5,Western Kentucky
51,Ryan Arcidiacono,PG,6-3,195,March 26 1994,us,6,Villanova
5,Precious Achiuwa,PF,6-8,225,September 19 1999,ng,3,Memphis
8,OG Anunoby,SF,6-7,232,July 17 1997,gb,6,Indiana
4,Malachi Flynn,PG,6-1,175,May 10 1998,us,3,Washington State San Diego State
67,Taj Gibson,PF,6-9,232,June 24 1985,us,14,USC
44,Charlie Brown Jr.  (TW),SG,6-6,199,February 2 1997,us,3,Saint Joseph's
13,Evan Fournier,SG,6-6,205,October 29 1992,fr,11,
00,Jacob Toppin  (TW),SF,6-9,205,May 8 2000,us,R,Rhode Island Kentucky
,Duane Washington Jr.  (TW),SG,6-3,210,March 24 2000,de,2,Ohio State
