Player,Age_x,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,Guaranteed,Rk,Age_y,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
RJ Barrett,23,$23883929,$25794643,$27705357,$29616071,,,$107000000,3,23,19,19,33.7,7.9,14.5,0.549,1.4,3.7,0.366,6.6,10.7,0.613,0.596,3.3,5.1,0.639,1.2,5.7,6.9,3.5,0.7,0.4,2.1,2.7,20.5
Bruce Brown,27,$22000000,$23000000,,,,,$22000000,9,27,14,5,26.1,3.9,8.3,0.466,0.6,1.9,0.296,3.3,6.4,0.517,0.5,1.3,1.3,1.0,1.1,3.4,4.4,2.1,0.9,0.5,1.1,2.1,9.6
Jakob Poeltl,28,$19500000,$19500000,$19500000,$19500000,,,$58500000,7,28,44,44,26.8,4.9,7.3,0.675,0.0,0.0,,4.9,7.3,0.675,0.675,1.2,2.2,0.557,2.8,5.7,8.5,2.4,0.7,1.5,1.6,3.0,11.0
Gary Trent Jr.,25,$18560000,,,,,,$18560000,8,25,50,20,26.3,4.2,10.2,0.416,2.4,5.7,0.418,1.9,4.5,0.413,0.532,0.6,0.9,0.667,0.2,2.0,2.2,1.5,1.0,0.1,0.7,1.2,11.5
Kelly Olynyk,32,$12195122,,,,,,$3000000,11,32,3,0,16.7,3.3,7.0,0.476,0.7,2.3,0.286,2.7,4.7,0.571,0.524,2.0,2.0,1.0,1.3,3.0,4.3,1.7,2.0,0.3,1.0,2.0,9.3
Chris Boucher,31,$11750000,$10810000,,,,,$22560000,16,31,46,0,13.9,2.2,4.4,0.493,0.6,1.9,0.326,1.5,2.5,0.623,0.564,1.3,1.8,0.747,1.2,2.8,4.1,0.4,0.3,0.5,0.5,1.4,6.3
Scottie Barnes,22,$8008680,$10130980,,,,,$18139660,1,22,55,55,35.2,7.5,15.8,0.473,1.8,5.1,0.353,5.7,10.7,0.53,0.529,3.3,4.3,0.779,2.3,5.8,8.1,6.0,1.2,1.5,2.7,2.0,20.1
Gradey Dick,20,$4536720,$4763760,$4990560,$7131511,,,$9300480,12,20,34,1,15.3,1.9,4.7,0.403,1.0,2.9,0.357,0.9,1.8,0.475,0.513,0.7,0.7,0.92,0.4,1.2,1.6,1.1,0.5,0.0,0.6,1.4,5.5
Jalen McDaniels,26,$4516000,$4741800,,,,,$9257800,20,26,33,0,8.9,1.1,3.2,0.333,0.3,1.6,0.208,0.7,1.6,0.462,0.386,0.4,0.6,0.7,0.3,1.0,1.3,0.5,0.3,0.1,0.5,0.9,2.9
Immanuel Quickley,24,$4171548,,,,,,$4171548,5,24,20,20,32.1,5.5,13.7,0.401,2.6,6.4,0.406,2.9,7.3,0.397,0.496,2.6,3.2,0.825,0.4,3.6,4.0,5.8,0.7,0.2,1.3,1.8,16.2
Ochai Agbaji,23,$4114200,$4310280,$6383525,,,,$8424480,15,23,3,0,14.0,1.7,6.0,0.278,0.3,3.0,0.111,1.3,3.0,0.444,0.306,0.7,1.0,0.667,0.7,0.7,1.3,0.7,0.3,0.0,1.0,1.0,4.3
Jordan Nwora,25,$3000000,,,,,,$3000000,18,25,10,0,12.4,1.9,4.5,0.422,0.9,2.2,0.409,1.0,2.3,0.435,0.522,1.5,1.7,0.882,0.5,1.7,2.2,1.4,0.5,0.2,0.7,1.4,6.2
Garrett Temple,37,$2019706,,,,,,$2019706,22,37,16,0,4.3,0.5,1.3,0.381,0.1,0.6,0.222,0.4,0.8,0.5,0.429,0.3,0.4,0.833,0.3,0.4,0.7,0.4,0.2,0.0,0.3,0.4,1.4
Javon Freeman-Liberty,24,,,,,,,,26,24,2,0,2.0,0.5,1.5,0.333,0.0,0.0,,0.5,1.5,0.333,0.333,0.0,0.0,,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0
Markquis Nowell,24,,,,,,,,23,24,1,0,4.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0
Jontay Porter,24,,,,,,,,17,24,17,5,13.0,1.5,4.1,0.371,0.7,2.2,0.324,0.8,1.9,0.424,0.457,0.6,0.7,0.917,1.0,2.2,3.2,1.8,0.7,0.6,0.6,1.6,4.4
