,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,Guaranteed
Zach LaVine,28,$40064220,$43031940,$45999660,$48967380,,,$129095820
DeMar DeRozan,34,$28600000,,,,,,$28600000
Lonzo Ball,26,$20465117,$21395348,,,,,$20465117
Nikola Vučević,33,$18518519,$20000000,$21481481,,,,$60000000
Coby White,23,$11111111,$12000000,$12888889,,,,$36000000
Patrick Williams,22,$9835881,,,,,,$9835881
Alex Caruso,29,$9460000,$9890000,,,,,$19350000
Ayo Dosunmu,24,$6481482,$7000000,$7518518,,,,$21000000
Jevon Carter,28,$6190476,$6500000,$6809524,,,,$12690476
Andre Drummond,30,$3360000,,,,,,$3360000
Dalen Terry,21,$3350760,$3510480,$5399118,,,,$6861240
Torrey Craig,33,$2528233,$2845342,,,,,$5373575
Terry Taylor,24,$2019706,$2196970,,,,,
Julian Phillips,20,$1600000,$1891857,$2221677,$2406205,,,$5713534
Onuralp Bitim,24,,,,,,,
Adama Sanogo,21,,,,,,,
Henri Drell,23,,,,,,,
Derrick Jones Jr.,26,$3360000,,,,,,
Team Totals,,$166945505,$130261937,$102318867,$51373585,,,$358345643
