Player,Age_x,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,Guaranteed,Rk,Age_y,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Joel Embiid,29,$47607350,$51415938,$55224526,$59033114,,,$154247814,3,29,34,34,34.0,11.8,22.2,0.533,1.2,3.3,0.366,10.6,18.9,0.562,0.56,10.5,11.9,0.883,2.6,8.7,11.3,5.7,1.1,1.8,3.7,2.9,35.3
Tobias Harris,31,$39270150,,,,,,$39270150,4,31,48,48,34.0,6.8,13.3,0.507,1.2,3.4,0.346,5.6,9.9,0.562,0.551,3.1,3.4,0.896,1.1,5.0,6.0,3.4,1.0,0.5,1.5,1.7,17.7
Buddy Hield,31,$19279841,,,,,,$19279841,1,31,4,4,39.0,8.5,16.3,0.523,4.5,10.0,0.45,4.0,6.3,0.64,0.662,0.8,1.0,0.75,0.5,3.5,4.0,7.5,1.8,0.0,3.0,4.0,22.3
Nicolas Batum,35,$11710818,,,,,,$11710818,8,35,31,27,25.5,2.2,4.1,0.528,1.4,2.9,0.467,0.8,1.2,0.676,0.693,0.3,0.5,0.643,1.4,2.6,4.0,2.4,0.6,0.7,0.6,2.0,6.0
Robert Covington,33,$11692308,,,,,,$11692308,13,33,26,3,16.1,1.5,3.4,0.449,0.7,1.8,0.354,0.9,1.6,0.561,0.545,0.8,0.9,0.875,1.1,2.3,3.4,0.7,1.3,0.6,0.4,1.9,4.5
De'Anthony Melton,25,$8000000,,,,,,$8000000,5,25,33,33,29.1,3.9,9.9,0.393,2.1,5.8,0.363,1.8,4.1,0.437,0.5,1.9,2.3,0.827,0.8,3.2,4.0,3.2,1.6,0.5,1.2,2.4,11.8
Paul Reed,24,$7723000,$7723000,$8109150,,,,$7723000,11,24,54,18,17.7,2.9,5.3,0.545,0.2,0.6,0.333,2.7,4.7,0.573,0.565,0.6,0.8,0.733,2.1,3.3,5.4,1.2,0.7,0.8,0.7,2.3,6.6
Tyrese Maxey,23,$4343920,,,,,,$4343920,2,23,49,49,37.2,8.9,19.9,0.449,3.0,8.0,0.378,5.9,11.9,0.497,0.526,4.8,5.6,0.854,0.6,3.1,3.7,6.4,1.0,0.5,1.7,2.2,25.7
Mo Bamba,25,$2019706,,,,,,$2019706,17,25,32,0,10.6,1.6,3.2,0.5,0.4,0.8,0.444,1.2,2.3,0.52,0.559,0.5,0.9,0.586,1.4,2.3,3.7,0.6,0.4,0.9,0.7,1.5,4.1
Kelly Oubre Jr.,28,$2019706,,,,,,$2019706,6,28,42,31,29.0,5.2,11.4,0.461,1.5,4.5,0.319,3.8,6.8,0.556,0.525,2.1,2.9,0.736,1.2,3.3,4.5,1.1,1.1,0.6,0.8,2.9,14.0
Cameron Payne,29,$2019706,,,,,,$2019706,7,29,4,1,25.8,3.8,10.3,0.366,1.3,5.0,0.25,2.5,5.3,0.476,0.427,2.0,2.3,0.889,1.0,1.3,2.3,4.8,0.5,0.3,0.8,1.3,10.8
KJ Martin,23,$1930681,,,,,,$1930681,16,23,38,2,10.9,1.4,2.6,0.561,0.1,0.4,0.267,1.3,2.2,0.614,0.582,0.3,0.7,0.5,0.4,1.2,1.6,0.7,0.3,0.1,0.5,1.4,3.3
Ricky Council IV,22,,,,,,,,18,22,14,0,9.9,2.1,4.2,0.492,0.3,1.0,0.286,1.8,3.2,0.556,0.525,2.4,3.0,0.786,0.7,1.4,2.1,0.3,0.1,0.0,0.1,0.6,6.8
Kenneth Lofton Jr.,21,,,,,,,,22,21,2,0,4.5,0.5,3.0,0.167,0.0,1.0,0.0,0.5,2.0,0.25,0.167,0.0,0.0,,0.0,1.5,1.5,0.0,0.0,0.0,1.0,0.0,1.0
Terquavion Smith,21,,,,,,,,21,21,11,0,6.2,1.5,3.6,0.4,1.1,2.8,0.387,0.4,0.8,0.444,0.55,0.2,0.3,0.667,0.0,0.2,0.2,0.9,0.6,0.0,0.4,0.4,4.2
Danny Green,36,$200000,,,,,,$200000,19,36,2,0,9.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5,0.0
