Player,Age,Salary,Salary,Salary,Salary,Salary,Salary,
Nikola Jokić,29,$47607350,$51415938,$55224526,$59033114,$62841702,,$213280928
Jamal Murray,26,$33833400,$36016200,,,,,$69849600
Michael Porter Jr.,25,$33386850,$35859950,$38333050,$40806150,,,$119579850
Aaron Gordon,28,$22266182,$23841455,$23841455,,,,$46107637
Kentavious Caldwell-Pope,31,$14704938,$15440185,,,,,$14704938
Reggie Jackson,33,$5000000,$5250000,,,,,$5000000
Zeke Nnaji,23,$4306281,$8888889,$8177778,$7466667,$7466667,,$28839615
Christian Braun,22,$2949120,$3089640,$4921797,,,,$6038760
Julian Strawther,21,$2431080,$2552520,$2674200,$4826931,,,$4983600
Peyton Watson,21,$2303520,$2413560,$4356476,,,,$4717080
Vlatko Čančar,26,$2234359,$2346606,,,,,$2234359
DeAndre Jordan,35,$2019706,,,,,,$2019706
Justin Holiday,34,$2019706,,,,,,$2019706
Jalen Pickett,24,$1708143,$1891857,$2221677,$2406205,,,$5821677
Hunter Tyson,23,$1119563,$1891857,$2221677,$2406205,,,$5233097
Braxton Key,27,,,,,,,
Jay Huff,25,,,,,,,
Collin Gillespie,24,,,,,,,
