Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Stephen Curry,35,50,50,33.5,9.1,19.8,.462,5.0,12.0,.421,4.1,7.8,.526,.589,4.7,5.1,.922,0.5,3.9,4.4,5.0,0.8,0.4,3.0,1.8,28.0
2,Klay Thompson,33,50,49,30.6,6.1,14.6,.421,3.3,8.7,.373,2.9,5.9,.491,.532,1.8,1.9,.918,0.5,3.0,3.5,2.2,0.6,0.5,1.5,1.8,17.3
3,Chris Paul,38,32,11,27.6,3.3,7.7,.424,1.3,3.7,.361,1.9,3.9,.484,.512,1.1,1.3,.833,0.3,3.5,3.8,7.2,1.1,0.1,1.2,1.8,8.9
4,Andrew Wiggins,28,48,37,27.1,4.8,10.7,.449,1.1,3.2,.342,3.7,7.5,.494,.500,1.8,2.5,.713,1.6,2.8,4.4,1.6,0.6,0.5,1.3,2.3,12.5
5,Draymond Green,33,29,26,26.9,3.7,7.2,.510,1.1,2.6,.421,2.6,4.6,.560,.586,1.2,1.6,.761,1.3,5.4,6.7,6.1,0.8,0.9,2.4,3.2,9.7
6,Brandin Podziemski,20,47,14,26.4,3.9,8.5,.464,1.3,3.3,.385,2.7,5.2,.514,.539,0.8,1.3,.610,1.5,4.3,5.8,3.9,0.9,0.2,1.3,1.9,9.9
7,Jonathan Kuminga,21,52,26,25.6,5.9,11.0,.534,0.8,2.4,.317,5.1,8.7,.593,.568,3.0,4.1,.726,1.3,3.4,4.7,1.9,0.7,0.4,1.6,2.2,15.5
8,Dario Šarić,29,51,9,19.1,3.3,6.9,.474,1.4,3.5,.402,1.8,3.4,.550,.577,1.5,1.7,.864,1.3,3.8,5.1,2.4,0.6,0.2,1.2,2.1,9.4
9,Kevon Looney,27,53,36,18.1,2.1,3.4,.609,0.0,0.0,.000,2.1,3.4,.612,.609,0.8,1.2,.694,2.3,4.1,6.3,2.2,0.4,0.4,0.7,2.3,4.9
10,Moses Moody,21,39,4,17.3,3.0,6.4,.466,1.1,3.1,.345,1.9,3.3,.577,.548,1.2,1.5,.797,1.1,1.9,3.0,0.8,0.7,0.4,0.7,1.3,8.2
11,Gary Payton II,31,20,0,16.0,2.4,4.7,.516,0.6,1.8,.314,1.9,2.9,.638,.575,0.4,0.6,.727,1.1,1.9,3.0,1.0,1.0,0.4,0.6,1.8,5.8
12,Trayce Jackson-Davis,23,40,3,12.9,2.7,3.9,.686,0.0,0.0,,2.7,3.9,.686,.686,1.1,1.8,.597,1.6,2.4,4.0,0.9,0.3,0.8,0.7,1.6,6.4
13,Lester Quinones,23,19,0,12.9,1.6,4.1,.390,1.0,2.5,.396,0.6,1.5,.379,.513,0.6,0.9,.667,0.7,1.7,2.4,1.3,0.3,0.1,0.6,1.5,4.8
14,Cory Joseph,32,26,0,11.4,0.9,2.5,.359,0.5,1.6,.310,0.4,0.8,.455,.461,0.2,0.3,.571,0.2,0.9,1.2,1.6,0.2,0.1,0.5,1.0,2.4
15,Gui Santos,21,12,0,9.1,1.3,2.7,.469,0.3,1.1,.308,0.9,1.6,.579,.531,1.2,1.3,.933,1.0,1.7,2.7,0.6,0.3,0.2,0.3,1.2,4.0
16,Jerome Robinson,26,9,0,3.3,0.0,1.0,.000,0.0,0.6,.000,0.0,0.4,.000,.000,0.4,0.7,.667,0.1,0.2,0.3,0.2,0.0,0.1,0.0,0.1,0.4
17,Usman Garuba,21,2,0,3.0,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0
