Player,Age,Salary,Salary,Salary,Salary,Salary,Salary,
Joel Embiid,29,$47607350,$51415938,$55224526,$59033114,,,$154247814
Tobias Harris,31,$39270150,,,,,,$39270150
Buddy Hield,31,$19279841,,,,,,$19279841
Nicolas Batum,35,$11710818,,,,,,$11710818
Robert Covington,33,$11692308,,,,,,$11692308
De'Anthony Melton,25,$8000000,,,,,,$8000000
Paul Reed,24,$7723000,$7723000,$8109150,,,,$7723000
Tyrese Maxey,23,$4343920,,,,,,$4343920
Mo Bamba,25,$2019706,,,,,,$2019706
Kelly Oubre Jr.,28,$2019706,,,,,,$2019706
Cameron Payne,29,$2019706,,,,,,$2019706
KJ Martin,23,$1930681,,,,,,$1930681
Ricky Council IV,22,,,,,,,
Darius Bazley,23,,,,,,,
Kenneth Lofton Jr.,21,,,,,,,
Kyle Lowry,37,,,,,,,
Terquavion Smith,21,,,,,,,
Montrezl Harrell,30,$2019706,,,,,,$2019706
Danny Green,36,$200000,,,,,,$200000
