Player,Age_x,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,Guaranteed,Rk,Age_y,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Ja Morant,24,$34005250,$36725670,$39446090,$42166510,$44886930,,$197230450,1,24,9,9,35.3,8.9,18.9,0.471,1.6,5.7,0.275,7.3,13.2,0.555,0.512,5.8,7.1,0.813,0.7,4.9,5.6,8.1,0.8,0.6,3.0,2.1,25.1
Jaren Jackson Jr.,24,$27102202,$25257798,$23413395,,,,$75773395,3,24,51,51,31.8,7.7,17.2,0.449,1.8,5.7,0.325,5.9,11.5,0.51,0.503,5.0,6.1,0.823,1.2,4.3,5.4,2.1,1.0,1.5,2.4,3.6,22.3
Marcus Smart,29,$18833713,$20210284,$21586855,,,,$60630852,4,29,20,20,30.3,5.1,11.9,0.43,2.1,6.7,0.313,3.0,5.2,0.583,0.519,2.2,2.8,0.768,0.3,2.4,2.7,4.3,2.1,0.3,3.1,2.7,14.5
Luke Kennard,27,$14763636,$14763636,,,,,$14763636,9,27,27,11,24.7,3.6,8.0,0.444,2.8,6.1,0.455,0.8,1.9,0.412,0.618,1.0,1.1,0.839,0.3,2.6,2.9,3.0,0.4,0.0,1.1,1.1,10.9
Ziaire Williams,22,$4810200,$6133005,,,,,$10943205,17,22,46,10,19.3,2.8,7.1,0.401,1.2,3.6,0.321,1.7,3.5,0.481,0.482,1.2,1.5,0.821,0.7,2.7,3.4,1.5,0.7,0.2,1.3,1.7,8.0
Desmond Bane,25,$3845083,$34005250,$36725670,$39446090,$42166510,$44886930,$201075533,2,25,37,37,34.5,8.9,18.8,0.474,3.3,8.6,0.384,5.6,10.2,0.551,0.563,3.3,3.8,0.864,0.9,3.6,4.6,5.3,1.0,0.5,2.7,2.9,24.4
Jake LaRavia,22,$3199920,$3352680,$5163127,,,,$6552600,24,22,11,0,11.1,1.5,3.9,0.372,0.5,2.2,0.208,1.0,1.7,0.579,0.43,0.3,0.4,0.75,0.6,0.8,1.5,0.5,0.1,0.1,0.4,1.7,3.6
Derrick Rose,35,$3196448,$3356271,,,,,$6552719,23,35,21,7,17.3,3.3,7.3,0.455,0.7,1.9,0.375,2.6,5.4,0.482,0.503,1.1,1.3,0.889,0.3,1.7,2.0,3.4,0.4,0.1,1.2,1.0,8.5
John Konchar,27,$2400000,$6165000,$6165000,$6165000,,,$20895000,15,27,44,15,19.4,1.5,3.6,0.424,0.6,2.0,0.292,0.9,1.6,0.594,0.506,0.3,0.3,0.786,1.2,3.1,4.3,1.8,0.8,0.9,0.7,1.3,3.9
Yuta Watanabe,29,$2346614,$2654644,,,,,$2346614,20,29,2,0,18.0,2.5,7.0,0.357,0.5,4.0,0.125,2.0,3.0,0.667,0.393,0.0,0.0,,0.0,1.5,1.5,1.0,1.0,0.0,0.5,0.5,5.5
Vince Williams Jr.,23,$2232308,$2120693,$2301587,$2489752,,,$6654588,5,23,44,25,26.6,3.1,6.9,0.444,1.5,4.1,0.365,1.6,2.8,0.561,0.553,2.0,2.5,0.815,1.2,4.4,5.6,2.9,0.9,0.6,1.4,2.5,9.6
Santi Aldama,23,$2194200,$3960531,,,,,$6154731,8,23,44,18,24.8,3.9,9.2,0.429,1.7,4.9,0.344,2.3,4.3,0.527,0.521,0.8,1.4,0.597,1.1,4.4,5.5,2.2,0.7,0.7,1.1,1.5,10.4
Lamar Stevens,26,$2019706,,,,,,$2019706,7,26,3,0,25.0,5.0,9.3,0.536,0.7,1.0,0.667,4.3,8.3,0.52,0.571,1.7,3.0,0.556,0.7,6.0,6.7,0.7,0.3,1.3,1.7,1.7,12.3
GG Jackson II,19,$1991428,$1891857,$2221677,$2406205,,,$6104962,16,19,23,1,19.4,4.0,8.7,0.455,1.8,4.4,0.412,2.1,4.3,0.5,0.56,1.6,2.3,0.667,1.0,2.5,3.5,0.8,0.5,0.7,0.9,1.2,11.3
Jordan Goodwin,25,$116075,,,,,,$116075,6,25,2,1,26.5,4.5,10.0,0.45,1.0,2.5,0.4,3.5,7.5,0.467,0.5,0.5,2.0,0.25,1.5,3.5,5.0,3.0,1.5,0.5,1.0,1.0,10.5
Scotty Pippen Jr.,23,,,,,,,,12,23,8,4,22.6,3.5,7.4,0.475,1.6,2.9,0.565,1.9,4.5,0.417,0.585,1.9,2.6,0.714,1.0,2.4,3.4,4.5,1.0,0.5,1.9,2.6,10.5
Trey Jemison,24,,,,,,,$64343,14,24,7,3,20.0,2.4,5.1,0.472,0.0,0.0,,2.4,5.1,0.472,0.472,0.9,1.0,0.857,2.1,2.1,4.3,1.0,0.6,1.4,1.1,3.3,5.7
Jacob Gilyard,25,,,,,,,,21,25,37,14,17.7,1.6,3.9,0.417,1.4,3.2,0.425,0.2,0.6,0.375,0.594,0.1,0.1,1.0,0.2,0.9,1.2,3.5,0.7,0.1,0.8,0.9,4.7
Bismack Biyombo,31,$5000000,,,,,,$5000000,10,31,30,27,23.9,2.2,4.0,0.563,0.0,0.0,,2.2,4.0,0.563,0.563,0.7,1.5,0.478,1.9,4.5,6.4,1.7,0.3,1.1,1.3,2.7,5.2
Kenneth Lofton Jr.,21,$1719864,,,,,,$1719864,25,21,15,0,6.6,0.9,2.5,0.378,0.2,0.7,0.3,0.7,1.8,0.407,0.419,0.5,1.0,0.533,0.1,0.9,1.0,0.9,0.2,0.2,0.4,1.0,2.6
