Player,Age,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,Guaranteed
Giannis Antetokounmpo,29,$45640084,$48787676,$68302746,$73766966,$79231186,,$236497472
Damian Lillard,33,$45640084,$48787676,$58545211,$63228828,,,$152972971
Khris Middleton,32,$29320988,$31666667,$34012345,,,,$60987655
Brook Lopez,35,$25000000,$23000000,,,,,$48000000
Bobby Portis,29,$11710818,$12578286,$13445754,,,,$24289104
Pat Connaughton,31,$9423869,$9423869,$9423869,,,,$28271607
MarJon Beauchamp,23,$2609400,$2733720,$4781276,,,,$5343120
Thanasis Antetokounmpo,31,$2019706,,,,,,$2019706
Malik Beasley,27,$2019706,,,,,,$2019706
Patrick Beverley,35,$2019706,,,,,,$2019706
Jae Crowder,33,$2019706,,,,,,$2019706
A.J. Green,24,$1901769,$2120693,$2301587,,,,$1901769
Andre Jackson Jr.,22,$1119563,$1891857,$2221677,$2406205,,,$1119563
Chris Livingston,20,$1119563,$1891857,$2221677,$2406205,,,$3011420
Danilo Gallinari,35,,,,,,,
TyTy Washington Jr.,22,,,,,,,
