Player,Age_x,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,Guaranteed,Rk,Age_y,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Zach LaVine,28,$40064220,$43031940,$45999660,$48967380,,,$129095820,3,28,25,23,34.9,6.8,15.0,0.452,2.4,6.8,0.349,4.4,8.3,0.536,0.531,3.5,4.1,0.854,0.3,4.8,5.2,3.9,0.8,0.3,2.1,2.3,19.5
DeMar DeRozan,34,$28600000,,,,,,$28600000,1,34,53,53,37.7,7.8,16.6,0.472,0.9,2.8,0.333,6.9,13.8,0.499,0.499,6.1,7.2,0.852,0.6,3.5,4.1,5.2,1.2,0.6,1.5,2.2,22.7
Nikola Vučević,33,$18518519,$20000000,$21481481,,,,$60000000,4,33,50,48,34.4,7.4,15.8,0.471,1.1,4.1,0.275,6.3,11.6,0.541,0.508,1.4,1.7,0.857,2.7,7.9,10.6,3.4,0.7,0.9,1.5,2.6,17.5
Coby White,24,$11111111,$12000000,$12888889,,,,$36000000,2,23,55,55,36.3,7.0,15.1,0.463,2.9,7.2,0.397,4.1,7.9,0.523,0.558,2.7,3.3,0.824,0.5,4.2,4.7,5.3,0.7,0.2,2.2,2.3,19.6
Patrick Williams,22,$9835881,,,,,,$9835881,5,22,43,30,27.3,3.7,8.3,0.443,1.4,3.4,0.399,2.3,4.9,0.474,0.525,1.2,1.5,0.788,1.1,2.8,3.9,1.5,0.9,0.8,1.3,2.0,10.0
Alex Caruso,29,$9460000,$9890000,,,,,$19350000,6,29,47,34,27.1,3.4,7.1,0.482,1.7,4.3,0.401,1.7,2.8,0.606,0.603,1.2,1.6,0.781,1.0,2.8,3.8,2.8,1.4,1.2,1.4,2.5,9.8
Ayo Dosunmu,24,$6481482,$7000000,$7518518,,,,$21000000,7,24,53,14,25.5,3.9,7.8,0.505,1.4,3.3,0.417,2.6,4.5,0.569,0.593,0.9,1.1,0.767,0.6,1.9,2.5,2.3,0.8,0.5,1.1,2.1,10.1
Jevon Carter,28,$6190476,$6500000,$6809524,,,,$12690476,10,28,52,0,13.7,2.0,5.3,0.371,1.2,3.4,0.337,0.8,1.9,0.433,0.48,0.1,0.1,0.6,0.1,0.7,0.8,1.2,0.5,0.2,0.6,1.1,5.1
Andre Drummond,30,$3360000,,,,,,$3360000,9,30,55,9,16.7,3.3,5.9,0.557,0.0,0.1,0.0,3.3,5.9,0.562,0.557,1.5,2.6,0.556,3.4,5.3,8.6,0.5,1.1,0.6,1.1,1.7,8.1
Dalen Terry,21,$3350760,$3510480,$5399118,,,,$6861240,11,21,35,1,10.0,0.9,2.2,0.395,0.3,1.2,0.233,0.6,0.9,0.606,0.461,0.5,0.6,0.727,0.3,1.3,1.6,1.2,0.3,0.2,0.5,1.3,2.5
Torrey Craig,33,$2528233,$2845342,,,,,$5373575,8,33,33,8,21.0,2.2,5.1,0.425,1.1,3.0,0.374,1.0,2.1,0.5,0.536,0.6,0.8,0.778,1.7,3.1,4.7,1.1,0.6,0.5,0.6,2.3,6.1
Terry Taylor,24,$2019706,$2196970,,,,,,12,24,18,0,7.3,0.8,1.6,0.536,0.1,0.4,0.143,0.8,1.2,0.667,0.554,0.1,0.1,1.0,0.8,0.7,1.5,0.3,0.2,0.1,0.4,0.7,1.8
Julian Phillips,20,$1600000,$1891857,$2221677,$2406205,,,$5713534,13,20,30,0,6.6,0.6,1.5,0.4,0.2,0.8,0.217,0.4,0.7,0.591,0.456,0.2,0.4,0.545,0.2,0.4,0.6,0.3,0.0,0.2,0.2,1.0,1.6
Onuralp Bitim,24,,,,,,,,15,24,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adama Sanogo,22,,,,,,,,14,21,3,0,3.7,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.7,1.0,0.667,0.7,1.3,2.0,0.0,0.0,0.0,0.3,0.0,2.7
