Player,Age_x,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,Guaranteed,Rk,Age_y,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Rudy Gobert,31,$41000000,$43827586,$46655172,,,,$84827586,2,31,54,54,33.4,5.2,8.0,0.647,0.0,0.0,0.0,5.2,8.0,0.65,0.647,3.4,5.2,0.645,3.6,9.0,12.5,1.2,0.6,2.1,1.5,3.0,13.7
Karl-Anthony Towns,28,$36016200,$49245000,$53184600,$57124200,$61063800,,$195570000,3,28,54,54,32.7,8.0,15.4,0.517,2.2,5.1,0.437,5.7,10.3,0.558,0.59,4.3,4.9,0.878,1.4,6.9,8.4,2.9,0.7,0.6,2.8,3.3,22.5
Mike Conley,36,$24360000,,,,,,$24360000,4,36,50,50,28.9,3.5,8.0,0.444,2.3,5.2,0.442,1.2,2.8,0.446,0.588,1.2,1.3,0.923,0.4,2.5,2.9,6.4,1.0,0.2,1.1,1.7,10.6
Anthony Edwards,22,$13534817,$35500000,$38340000,$41180000,$44020000,$46860000,$219434817,1,22,52,52,35.0,9.1,19.3,0.471,2.6,6.7,0.386,6.5,12.7,0.515,0.537,5.5,6.5,0.841,0.6,4.7,5.2,5.3,1.2,0.5,3.3,2.0,26.3
Naz Reid,24,$12950400,$13986432,$15022464,,,,$26936832,7,24,55,0,22.5,4.6,9.5,0.489,1.9,4.6,0.418,2.7,4.9,0.556,0.59,1.1,1.4,0.753,0.9,3.7,4.6,1.0,0.7,0.7,1.2,2.0,12.2
Monte Morris,28,$9800926,,,,,,$9800926,9,28,3,0,15.0,2.3,5.3,0.438,0.7,3.0,0.222,1.7,2.3,0.714,0.5,0.3,0.3,1.0,0.0,1.3,1.3,2.3,1.0,0.3,0.3,0.7,5.7
Kyle Anderson,30,$9219512,,,,,,$9219512,8,30,55,2,21.8,2.3,5.1,0.464,0.1,0.6,0.219,2.2,4.5,0.496,0.477,1.3,1.8,0.7,0.8,2.7,3.5,4.1,0.8,0.5,1.2,1.5,6.1
Nickeil Alexander-Walker,25,$4687500,$4312500,,,,,$9000000,6,25,55,16,23.1,2.5,5.9,0.429,1.5,3.9,0.376,1.1,2.0,0.532,0.552,0.5,0.7,0.763,0.4,1.5,1.9,2.5,0.9,0.5,1.0,1.9,7.0
Jaden McDaniels,23,$3901399,$22586207,$24393104,$26200001,$28006898,$29813790,$134901399,5,23,45,44,28.7,4.4,8.7,0.505,1.2,3.4,0.357,3.2,5.2,0.602,0.576,0.7,0.9,0.795,0.8,1.9,2.7,1.3,0.9,0.5,1.3,3.0,10.7
Wendell Moore Jr.,22,$2421720,$2537040,$4574283,,,,$4958760,16,22,14,0,3.1,0.4,0.7,0.5,0.0,0.3,0.0,0.4,0.4,0.833,0.5,0.0,0.0,,0.0,0.4,0.4,0.1,0.4,0.1,0.2,0.3,0.7
Jordan McLaughlin,27,$2320000,,,,,,$2320000,12,27,33,0,8.9,0.9,2.3,0.395,0.5,1.3,0.395,0.4,1.0,0.394,0.507,0.1,0.2,0.5,0.3,0.7,1.0,1.6,0.7,0.2,0.3,0.5,2.5
Leonard Miller,20,$1800000,$1891857,$2221677,$2406205,,,$3691857,13,20,7,0,3.7,1.0,1.6,0.636,0.1,0.4,0.333,0.9,1.1,0.75,0.682,0.0,0.0,,0.1,1.3,1.4,0.4,0.1,0.1,0.1,0.4,2.1
Josh Minott,21,$1719864,$2019699,$2187451,,,,$1719864,15,21,19,0,3.2,0.5,1.1,0.476,0.1,0.3,0.167,0.5,0.8,0.6,0.5,0.6,0.7,0.857,0.2,0.4,0.5,0.2,0.2,0.2,0.1,0.4,1.7
Luka Garza,25,,,,,,,,17,25,13,0,3.0,0.8,1.9,0.44,0.2,0.7,0.333,0.6,1.2,0.5,0.5,0.6,0.9,0.667,0.5,0.4,0.8,0.2,0.0,0.0,0.2,0.8,2.5
Daishen Nix,22,,,,,,,,14,21,10,0,3.5,0.8,1.9,0.421,0.5,1.3,0.385,0.3,0.6,0.5,0.553,0.1,0.4,0.25,0.0,0.1,0.1,0.2,0.2,0.0,0.1,0.1,2.2
