Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Paolo Banchero,21,55,55,35.0,8.2,17.8,.462,1.5,4.2,.365,6.7,13.5,.492,.505,5.1,7.2,.702,1.1,5.7,6.9,5.3,1.1,0.5,3.0,2.0,23.0
2,Franz Wagner,22,47,47,33.3,7.8,16.3,.477,1.6,5.1,.318,6.1,11.2,.549,.527,3.9,4.5,.858,1.1,4.5,5.6,4.1,1.1,0.4,2.0,2.3,21.1
3,Jalen Suggs,22,50,50,26.9,4.4,9.8,.445,2.1,5.4,.384,2.3,4.5,.518,.550,1.5,2.0,.760,0.7,2.6,3.3,2.4,1.4,0.6,1.9,2.8,12.3
4,Wendell Carter Jr.,24,29,23,26.2,4.2,7.8,.535,1.1,2.8,.402,3.0,5.0,.611,.608,1.9,2.7,.727,1.8,4.7,6.5,1.6,0.4,0.5,1.2,2.4,11.4
5,Markelle Fultz,25,21,15,24.0,4.0,8.0,.491,0.0,0.3,.143,3.9,7.7,.506,.494,0.4,0.8,.563,1.4,2.1,3.5,3.7,1.3,0.3,1.1,1.7,8.4
6,Cole Anthony,23,54,0,23.0,4.1,9.4,.432,1.1,3.2,.326,3.0,6.1,.488,.488,2.7,3.2,.839,0.9,3.1,4.0,3.0,0.8,0.4,1.8,2.4,11.9
7,Gary Harris,29,33,6,22.5,2.4,5.5,.432,1.2,3.8,.331,1.2,1.8,.644,.544,0.8,1.0,.781,0.5,1.1,1.6,1.8,0.8,0.3,0.5,1.7,6.8
8,Moritz Wagner,26,53,1,18.4,4.2,7.2,.588,0.5,1.5,.325,3.7,5.7,.658,.622,2.2,2.8,.795,1.5,2.9,4.4,1.2,0.5,0.3,1.2,2.2,11.1
9,Goga Bitadze,24,46,31,18.2,2.4,3.9,.619,0.0,0.2,.200,2.4,3.7,.643,.624,1.0,1.5,.662,2.1,3.4,5.5,1.5,0.6,1.4,0.7,2.1,5.9
10,Anthony Black,20,50,30,18.1,1.8,3.7,.486,0.5,1.3,.369,1.3,2.4,.551,.552,0.8,1.3,.651,0.5,1.6,2.1,1.6,0.5,0.3,0.9,1.9,4.9
11,Joe Ingles,36,41,0,17.3,1.6,3.9,.413,1.1,2.7,.409,0.5,1.2,.420,.553,0.4,0.5,.850,0.4,2.0,2.4,3.1,0.6,0.1,0.9,1.5,4.7
12,Caleb Houstan,21,40,8,14.9,1.5,3.9,.390,1.3,3.6,.371,0.2,0.3,.636,.562,0.4,0.6,.773,0.6,1.0,1.6,0.6,0.3,0.0,0.4,1.1,4.8
13,Jonathan Isaac,26,37,1,14.8,2.2,4.7,.474,0.5,1.7,.281,1.8,3.0,.586,.526,1.2,1.6,.741,1.2,3.0,4.2,0.5,0.7,1.2,0.5,1.2,6.1
14,Trevelin Queen,26,13,0,12.5,1.1,2.9,.368,0.2,1.3,.176,0.8,1.6,.524,.408,0.7,0.9,.750,0.2,1.2,1.5,1.4,0.5,0.4,0.5,1.2,3.1
15,Chuma Okeke,25,33,8,11.5,1.2,3.0,.384,0.7,2.2,.319,0.5,0.8,.556,.500,0.1,0.2,.400,0.5,1.6,2.2,0.5,0.2,0.2,0.4,0.6,3.1
16,Jett Howard,20,13,0,3.8,0.6,1.7,.364,0.4,1.3,.294,0.2,0.4,.600,.477,0.2,0.3,.500,0.1,0.3,0.4,0.2,0.0,0.1,0.2,0.2,1.8
17,Admiral Schofield,26,13,0,3.8,0.5,1.2,.375,0.2,0.8,.300,0.2,0.5,.500,.469,0.0,0.2,.000,0.1,0.5,0.6,0.4,0.0,0.0,0.3,0.5,1.2
18,Kevon Harris,26,2,0,3.0,1.0,1.5,.667,0.0,0.0,,1.0,1.5,.667,.667,0.0,0.0,,0.0,1.0,1.0,0.5,0.0,0.0,0.5,1.5,2.0
