Player,Age,Salary,Salary,Salary,Salary,Salary,Salary,
Fred VanVleet,29,$40806300,$42846615,$44886930,,,,$128539845
Dillon Brooks,28,$22627671,$22255493,$21124110,$19992727,,,$86000001
Steven Adams,30,$12600000,$12600000,,,,,$25200000
Jalen Green,22,$9891480,$12483048,,,,,$22374528
Jeff Green,37,$9600000,$9600000,,,,,$19200000
Jabari Smith Jr.,20,$9326520,$9770880,$12350392,,,,$19097400
Amen Thompson,21,$8809320,$9249960,$9690600,$12258609,,,$18059280
Jock Landale,28,$8000000,$8000000,$8000000,$8000000,,,$24000000
Jae'Sean Tate,28,$6500000,$7065217,,,,,$6500000
Alperen Şengün,21,$3536280,$5424654,,,,,$8960934
Tari Eason,22,$3527160,$3695160,$5675766,,,,$7222320
Cam Whitmore,19,$3218160,$3379080,$3539760,$5458310,,,$6597240
Boban Marjanović,35,$2019706,,,,,,
Aaron Holiday,27,$2019706,,,,,,
Reggie Bullock,32,$2019706,,,,,,$2019706
Jermaine Samuels,25,,,,,,,
Nate Hinton,24,,,,,,,
Jeenathan Williams,25,,,,,,,
John Wall,33,$6802950,,,,,,$6802950
