Player,Age_x,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,Guaranteed,Rk,Age_y,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Pascal Siakam,29,$37893408,,,,,,$37893408,1,29,15,15,33.3,8.8,15.4,0.571,1.3,3.1,0.413,7.5,12.3,0.611,0.613,2.5,4.1,0.623,2.0,4.7,6.7,4.8,0.9,0.3,1.7,2.9,21.4
Myles Turner,27,$20975000,$19928500,,,,,$40903500,4,27,52,52,27.4,6.3,11.9,0.524,1.4,4.1,0.336,4.9,7.9,0.621,0.581,3.3,4.3,0.783,1.6,5.3,6.9,1.3,0.6,1.8,1.4,3.2,17.2
Doug McDermott,32,$13750000,,,,,,$13750000,13,32,3,0,12.7,1.7,5.7,0.294,1.0,4.7,0.214,0.7,1.0,0.667,0.382,0.0,0.0,,0.3,0.0,0.3,0.3,0.0,0.0,0.3,0.7,4.3
T.J. McConnell,31,$8700000,$9300000,,,,,$13700000,11,31,45,4,17.3,3.7,6.8,0.536,0.1,0.4,0.158,3.6,6.4,0.561,0.541,0.8,1.0,0.766,0.5,2.1,2.6,5.5,1.0,0.1,1.6,1.1,8.2
Bennedict Mathurin,21,$6916080,$7245720,$9187573,,,,$14161800,7,21,52,15,25.5,4.9,10.9,0.45,1.2,3.4,0.366,3.7,7.6,0.487,0.506,3.0,3.6,0.825,1.0,2.8,3.8,1.9,0.5,0.2,1.7,1.8,14.1
Obi Toppin,25,$6803012,,,,,,$6803012,9,25,56,28,22.5,4.2,7.4,0.568,1.3,3.1,0.403,2.9,4.3,0.689,0.653,1.0,1.3,0.747,1.1,2.8,3.9,1.6,0.5,0.5,0.9,1.8,10.7
Jarace Walker,20,$6059520,$6362520,$6665520,$8478542,,,$12422040,15,20,17,0,10.2,1.6,3.9,0.424,0.7,1.9,0.375,0.9,2.0,0.471,0.515,0.4,0.4,0.857,0.5,1.2,1.7,1.2,0.5,0.4,0.6,1.0,4.4
Tyrese Haliburton,23,$5808435,$35500000,$38340000,$41180000,$44020000,$46860000,$211708435,2,23,43,42,32.0,7.8,15.8,0.492,3.2,7.9,0.4,4.6,7.9,0.584,0.592,3.1,3.6,0.853,0.6,3.3,3.9,11.7,1.0,0.7,2.4,1.0,21.8
Aaron Nesmith,24,$5634257,$11000000,$11000000,$11000000,,,$38634257,5,24,51,26,27.1,4.6,8.9,0.519,2.1,4.7,0.452,2.5,4.2,0.593,0.638,1.3,1.8,0.702,0.9,2.9,3.9,1.4,1.1,0.7,1.0,3.3,12.6
Jalen Smith,23,$5043773,$5417386,,,,,$5043773,10,23,38,13,18.1,4.2,6.7,0.632,1.2,2.4,0.484,3.1,4.3,0.716,0.719,1.2,1.7,0.703,1.6,4.0,5.6,1.0,0.3,0.7,0.8,2.3,10.8
Isaiah Jackson,22,$2696280,$4435381,,,,,$7131661,12,22,43,3,13.7,2.8,4.3,0.652,0.0,0.1,0.0,2.8,4.2,0.667,0.652,1.3,1.8,0.705,1.5,2.7,4.2,0.9,0.6,1.2,0.7,2.7,6.9
Ben Sheppard,22,$2537160,$2663880,$2790720,$5031669,,,$5201040,14,22,33,0,10.8,1.1,3.0,0.374,0.6,2.0,0.288,0.5,1.0,0.545,0.47,0.4,0.5,0.824,0.2,1.1,1.3,0.7,0.5,0.0,0.2,1.3,3.2
Andrew Nembhard,24,$2131905,$2019699,$2187451,,,,$4151604,8,24,42,21,22.9,3.8,7.7,0.492,0.8,2.2,0.344,3.0,5.5,0.552,0.542,0.7,0.9,0.789,0.6,1.2,1.8,4.6,0.9,0.1,1.7,2.0,9.0
James Johnson,37,$777703,,,,,,$3386299,19,36,5,0,4.8,0.4,1.0,0.4,0.0,0.2,0.0,0.4,0.8,0.5,0.4,0.0,0.0,,0.2,0.6,0.8,1.0,0.8,0.0,0.4,0.8,0.8
Oscar Tshiebwe,24,,,,,,,,18,24,7,0,5.3,1.3,2.4,0.529,0.0,0.0,,1.3,2.4,0.529,0.529,0.7,0.9,0.833,0.9,1.1,2.0,0.3,0.3,0.0,0.0,0.3,3.3
Kendall Brown,20,,,,,,,,20,20,5,0,4.0,0.6,1.2,0.5,0.0,0.2,0.0,0.6,1.0,0.6,0.5,0.8,1.2,0.667,0.4,0.0,0.4,0.4,0.0,0.0,0.0,0.8,2.0
Daniel Theis,31,$6928876,,,,,,$6928876,17,31,1,0,8.0,1.0,4.0,0.25,0.0,1.0,0.0,1.0,3.0,0.333,0.25,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
