Player,Age_x,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,Guaranteed,Rk,Age_y,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Paul George,33,$45640084,$48787676,,,,,$45640084,3,33,50,50,33.7,7.9,17.2,0.458,3.3,8.3,0.393,4.6,8.9,0.518,0.552,3.4,3.8,0.91,0.5,4.8,5.3,3.6,1.6,0.4,2.0,2.9,22.5
Kawhi Leonard,32,$45640084,$52368085,$50000000,$50300000,,,$198308169,2,32,48,48,34.3,9.0,17.1,0.527,2.3,5.1,0.453,6.7,11.9,0.558,0.595,3.8,4.2,0.891,1.2,5.0,6.2,3.7,1.7,0.9,1.6,1.5,24.1
James Harden,34,$35640000,,,,,,$35640000,1,34,48,48,34.6,5.1,11.4,0.45,2.8,6.7,0.421,2.3,4.7,0.491,0.574,4.3,5.0,0.874,0.4,4.7,5.1,8.4,1.2,0.9,2.5,2.0,17.5
Norman Powell,30,$18000000,$19241379,$20482758,,,,$57724137,5,30,53,0,25.2,4.7,9.6,0.495,2.1,4.6,0.453,2.6,4.9,0.534,0.605,1.8,2.2,0.843,0.2,2.4,2.5,1.0,0.5,0.3,0.8,1.8,13.4
P.J. Tucker,38,$11014500,$11539000,,,,,$11014500,14,38,12,0,14.4,0.3,1.2,0.286,0.3,0.9,0.273,0.1,0.3,0.333,0.393,0.3,0.3,1.0,1.3,1.2,2.4,0.7,0.5,0.1,0.2,2.2,1.2
Ivica Zubac,26,$10933333,$11743210,,,,,$22676543,4,26,43,43,26.5,5.0,7.7,0.656,0.0,0.0,,5.0,7.7,0.656,0.656,1.8,2.7,0.664,3.1,6.4,9.5,1.3,0.2,1.3,1.1,2.7,11.9
Terance Mann,27,$10576923,$11423077,,,,,$22000000,6,27,47,43,24.9,2.9,6.2,0.46,0.9,2.8,0.301,2.0,3.4,0.595,0.529,0.9,1.1,0.759,1.2,2.0,3.1,1.8,0.6,0.2,0.6,1.9,7.4
Mason Plumlee,33,$5000000,,,,,,$5000000,11,33,23,9,17.6,2.4,3.7,0.655,0.0,0.0,,2.4,3.7,0.655,0.655,1.7,2.6,0.667,1.5,4.3,5.8,1.3,0.3,0.3,0.7,1.5,6.5
Russell Westbrook,35,$3835738,$4027525,,,,,$7863263,7,35,53,10,23.2,4.6,9.9,0.463,0.7,2.4,0.281,3.9,7.5,0.522,0.497,1.6,2.4,0.661,1.5,3.9,5.4,4.6,1.1,0.4,2.1,1.8,11.4
Amir Coffey,26,$3666667,$3938271,,,,,$7604938,10,26,41,8,17.9,2.2,4.0,0.562,0.9,2.0,0.45,1.3,2.0,0.671,0.673,1.0,1.1,0.891,0.3,1.4,1.7,0.8,0.4,0.1,0.4,1.3,6.3
Kobe Brown,24,$2413320,$2533920,$2654880,$4792059,,,$4947240,16,24,32,0,8.7,0.7,1.9,0.371,0.4,1.2,0.308,0.3,0.7,0.478,0.468,0.0,0.1,0.5,0.3,1.1,1.4,0.5,0.2,0.1,0.2,1.3,1.8
Bones Hyland,23,$2306400,$4158439,,,,,$6464839,15,23,19,2,13.2,2.3,6.3,0.367,1.1,3.4,0.313,1.3,2.9,0.429,0.45,0.5,0.6,0.833,0.2,0.7,0.9,1.7,0.5,0.1,1.2,1.4,6.2
Brandon Boston Jr.,22,$1836096,,,,,,$1836096,17,22,16,0,7.4,1.4,3.6,0.379,0.4,1.3,0.3,1.0,2.4,0.421,0.431,0.7,0.8,0.917,0.4,0.5,0.9,0.3,0.1,0.1,0.3,1.0,3.8
Joshua Primo,21,$1764341,$2196970,,,,,$1764341,20,21,1,0,5.0,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0
Daniel Theis,31,$1741126,,,,,,$1741126,12,31,39,1,17.0,2.6,4.7,0.541,0.4,1.0,0.421,2.2,3.8,0.571,0.584,0.8,1.1,0.721,1.5,2.2,3.7,1.0,0.5,0.9,0.7,2.4,6.3
Xavier Moon,29,,,,,,,,18,29,2,0,6.0,0.5,1.0,0.5,0.0,0.5,0.0,0.5,0.5,1.0,0.5,0.0,0.0,,0.0,1.0,1.0,1.5,0.0,0.0,0.5,0.5,1.0
Jordan Miller,24,,,,,,,,21,24,5,0,4.2,0.8,1.2,0.667,0.2,0.2,1.0,0.6,1.0,0.6,0.75,0.4,0.4,1.0,0.4,0.4,0.8,0.0,0.0,0.0,0.2,0.4,2.2
Moussa Diabaté,22,,,,,,,,19,22,10,0,5.8,0.9,1.8,0.5,0.0,0.0,,0.9,1.8,0.5,0.5,0.9,1.2,0.75,1.4,0.6,2.0,0.4,0.4,0.0,0.2,0.4,2.7
