Player,Age,Salary,Salary,Salary,Salary,Salary,Salary,
Jrue Holiday,33,$36861707,$39403894,,,,,$36861707
Kristaps Porziņģis,28,$36016200,$29268293,$30731707,,,,$96016200
Jayson Tatum,25,$32600060,$34848340,$37096620,,,,$67448400
Jaylen Brown,27,$31830357,$49700000,$53676000,$57652000,$61628000,$65604000,$320090357
Derrick White,29,$18357143,$19571429,,,,,$37928572
Al Horford,37,$10000000,$9500000,,,,,$19500000
Payton Pritchard,26,$4037277,$6696429,$7232143,$7767857,$8303571,,$34037277
Luke Kornet,28,$2413304,,,,,,
Jaden Springer,21,$2226240,$4018363,,,,,$6244603
Oshae Brissett,25,$2165000,$2463946,,,,,$2165000
Svi Mykhailiuk,26,$2019706,,,,,,
Xavier Tillman Sr.,25,$1930681,,,,,,$1930681
Sam Hauser,26,$1927896,$2092344,,,,,$4020240
Jordan Walsh,19,$1119563,$1891857,$2221677,$2406205,,,$3211420
Drew Peterson,24,,,,,,,
Neemias Queta,24,,,,,,,
JD Davison,21,,,,,,,
Demetrius Jackson,29,$92857,,,,,,$92857
