Rk,Player,Age,G,GS,MP▼,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Brandon Ingram,26,45,45,33.2,8.0,16.4,.488,1.3,3.8,.351,6.6,12.6,.529,.529,4.1,5.1,.805,0.7,4.3,5.0,5.6,0.8,0.5,2.5,2.3,21.4
2,CJ McCollum,32,35,35,32.2,6.9,14.8,.465,3.4,7.8,.431,3.5,7.0,.504,.579,2.0,2.6,.789,0.6,3.6,4.2,4.7,1.1,0.9,1.7,2.2,19.2
3,Zion Williamson,23,39,39,30.4,8.8,15.0,.589,0.1,0.3,.364,8.7,14.7,.593,.592,4.5,6.8,.668,1.7,3.8,5.5,4.6,1.0,0.4,2.6,2.4,22.3
4,Herbert Jones,25,44,44,28.5,3.9,7.9,.494,1.4,3.5,.396,2.5,4.4,.573,.582,1.8,2.0,.856,1.1,2.5,3.6,2.5,1.1,0.9,1.2,2.8,10.9
5,Jonas Valančiūnas,31,49,49,26.3,5.6,9.8,.573,0.6,1.8,.345,5.0,8.0,.624,.605,2.4,3.0,.791,2.6,7.0,9.7,2.4,0.5,1.1,1.4,3.0,14.2
6,Trey Murphy III,23,24,5,25.9,4.3,10.1,.428,2.5,7.0,.357,1.8,3.1,.587,.551,1.6,2.1,.780,0.5,3.3,3.8,1.8,0.7,0.3,0.6,1.2,12.8
7,Matt Ryan,26,13,1,22.9,2.9,6.4,.458,2.5,5.2,.471,0.5,1.2,.400,.651,1.0,1.1,.929,0.4,1.9,2.3,1.1,0.4,0.1,1.2,1.8,9.3
8,Dyson Daniels,20,49,15,21.8,2.1,4.9,.429,0.6,2.1,.282,1.5,2.8,.540,.490,0.6,1.0,.646,1.0,2.7,3.7,2.7,1.3,0.3,1.0,1.6,5.4
9,Jordan Hawkins,21,44,10,21.4,3.3,8.3,.401,2.1,5.5,.382,1.3,2.9,.437,.526,1.4,1.6,.847,0.6,2.3,2.8,1.4,0.3,0.1,0.8,1.4,10.2
10,Naji Marshall,26,40,1,18.5,2.6,5.7,.447,0.8,2.2,.371,1.7,3.5,.496,.520,1.4,1.8,.781,1.0,2.6,3.5,2.0,0.7,0.2,1.0,1.5,7.4
11,Larry Nance Jr.,31,31,0,17.8,2.2,3.9,.567,0.6,1.3,.462,1.6,2.6,.617,.642,0.8,1.0,.800,1.3,3.8,5.1,1.3,1.0,0.4,0.7,1.2,5.7
12,Jose Alvarado,25,31,0,16.1,2.4,5.8,.413,1.3,3.4,.390,1.1,2.4,.446,.528,0.7,1.1,.657,0.4,1.7,2.1,1.8,1.0,0.3,0.7,1.5,6.8
13,Jeremiah Robinson-Earl,23,19,1,10.8,1.6,3.0,.526,0.4,1.1,.381,1.2,1.9,.611,.596,0.5,0.6,.909,0.7,1.8,2.5,0.5,0.4,0.2,0.5,0.7,4.1
14,Dereon Seabron,23,5,0,10.4,0.8,2.6,.308,0.2,0.4,.500,0.6,2.2,.273,.346,1.0,1.2,.833,0.2,1.2,1.4,0.8,0.4,0.2,0.0,0.8,2.8
15,Kira Lewis Jr.,22,15,0,9.6,1.1,3.5,.308,0.1,1.3,.100,0.9,2.1,.438,.327,0.7,0.7,.909,0.3,0.7,0.9,1.2,0.3,0.1,0.5,0.5,2.9
16,Cody Zeller,31,34,0,8.3,0.6,1.5,.392,0.0,0.1,.333,0.6,1.4,.396,.402,0.6,1.0,.600,1.1,1.6,2.7,1.0,0.2,0.1,0.4,1.1,1.8
17,Kaiser Gates,27,1,0,7.0,0.0,4.0,.000,0.0,2.0,.000,0.0,2.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,E.J. Liddell,23,8,0,2.9,0.1,0.8,.167,0.0,0.6,.000,0.1,0.1,1.000,.167,0.3,0.3,1.000,0.0,0.6,0.6,0.1,0.3,0.3,0.3,0.3,0.5
