Player,Age,Salary,Salary,Salary,Salary,Salary,Salary,
Kevin Durant,35,$47649433,$51179021,$54708609,,,,$153537063
Bradley Beal,30,$46741590,$50203930,$53666270,$57128610,,,$150611790
Devin Booker,27,$36016200,$49700000,$53676000,$57652000,$61628000,,$258672200
Jusuf Nurkić,29,$16875000,$18125000,$19375000,,,,$54375000
Royce O'Neale,30,$9500000,,,,,,$9500000
Grayson Allen,28,$8925000,,,,,,$8925000
Nassir Little,24,$6250000,$6750000,$7250000,$7750000,,,$28000000
Eric Gordon,35,$3196448,$3356271,,,,,$3196448
Josh Okogie,25,$2815937,$2956734,,,,,$2815937
David Roddy,22,$2718240,$2847240,$4831766,,,,$5565480
Damion Lee,31,$2528233,$2845342,,,,,$2528233
Drew Eubanks,27,$2346614,$2654644,,,,,$5001258
Bol Bol,24,$2019706,,,,,,$2019706
Thaddeus Young,35,,,,,,,
Théo Maledon,22,,,,,,,
Saben Lee,24,,,,,,,
Udoka Azubuike,24,,,,,,,
Keon Johnson,21,$2808720,,,,,,$2808720
