Player,Age_x,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,Guaranteed,Rk,Age_y,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Evan Fournier,31,$18857143,$19000000,,,,,$37857143,7,31,2,0,25.0,4.0,10.5,0.381,2.0,6.0,0.333,2.0,4.5,0.444,0.476,1.5,2.0,0.75,1.0,3.0,4.0,1.0,1.5,0.5,2.5,2.5,11.5
James Wiseman,22,$12119440,,,,,,$12119440,18,22,35,0,14.1,2.6,3.9,0.667,0.0,0.1,0.0,2.6,3.9,0.676,0.667,0.7,1.2,0.634,1.5,2.5,4.0,0.6,0.1,0.6,0.9,2.1,6.0
Cade Cunningham,22,$11055360,$13940809,,,,,$24996169,1,22,44,44,34.0,8.2,18.4,0.446,1.7,5.1,0.335,6.5,13.3,0.489,0.493,3.8,4.5,0.857,0.4,3.7,4.1,7.5,0.9,0.4,3.6,2.7,21.9
Ausar Thompson,21,$7977480,$8376000,$8775000,$11117925,,,$16353480,9,21,54,29,24.0,3.6,7.5,0.485,0.2,1.6,0.155,3.4,6.0,0.571,0.501,1.1,1.8,0.619,2.2,4.3,6.5,1.9,1.0,0.9,1.3,2.8,8.6
Jaden Ivey,22,$7614480,$7977240,$10107163,,,,$15591720,5,21,50,34,27.7,5.4,11.9,0.454,1.6,4.3,0.361,3.8,7.6,0.507,0.519,2.9,4.0,0.729,1.3,2.4,3.7,3.6,0.7,0.6,2.5,2.9,15.3
Isaiah Stewart,22,$5266713,$15000000,$15000000,$15000000,$15000000,,$50266713,3,22,35,34,30.6,4.1,8.6,0.47,1.4,3.7,0.374,2.7,4.9,0.544,0.551,1.5,2.0,0.746,1.8,5.0,6.8,1.7,0.4,0.8,1.5,2.5,11.0
Shake Milton,27,$5000000,$5000000,,,,,$5000000,14,27,3,0,17.7,3.3,8.0,0.417,1.0,2.7,0.375,2.3,5.3,0.438,0.479,0.7,1.0,0.667,2.3,3.7,6.0,2.0,0.7,0.3,1.0,0.7,8.3
Jalen Duren,20,$4330680,$4536840,$6483144,,,,$8867520,4,20,39,38,30.1,6.1,9.7,0.631,0.0,0.1,0.0,6.1,9.6,0.636,0.631,1.8,2.4,0.742,3.4,8.6,12.0,2.5,0.4,0.8,1.9,3.3,14.0
Troy Brown Jr.,24,$4000000,$4000000,,,,,$4000000,16,24,3,0,16.0,2.3,5.3,0.438,1.3,3.3,0.4,1.0,2.0,0.5,0.563,0.7,0.7,1.0,0.3,3.3,3.7,1.3,0.3,0.0,0.3,1.0,6.7
Malachi Flynn,25,$3873025,,,,,,$3873025,25,25,2,0,5.0,0.5,2.0,0.25,0.5,1.0,0.5,0.0,1.0,0.0,0.375,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,1.5
Mike Muscala,32,$3500000,,,,,,$3500000,19,32,13,4,13.2,1.2,3.4,0.341,1.0,2.6,0.382,0.2,0.8,0.2,0.489,0.2,0.3,0.5,0.8,1.5,2.2,0.8,0.2,0.4,0.2,1.0,3.5
Simone Fontecchio,28,$3044872,,,,,,$3044872,6,28,3,2,26.0,6.0,13.3,0.45,2.3,6.7,0.35,3.7,6.7,0.55,0.538,1.0,1.7,0.6,1.0,3.7,4.7,2.0,1.0,0.0,0.3,1.7,15.3
Marcus Sasser,23,$2624040,$2755080,$2886720,$5198983,,,$5379120,15,23,49,0,16.4,2.9,6.2,0.467,1.2,2.8,0.416,1.7,3.4,0.509,0.561,0.7,0.8,0.868,0.1,1.4,1.6,3.0,0.5,0.2,1.0,1.4,7.6
Tosan Evbuomwan,23,$70777,,,,,,$70777,23,22,1,0,8.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,0.0,0.0,,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,5.0
Jared Rhoden,24,,,,,,,,24,24,6,0,7.0,1.0,1.8,0.545,0.2,0.7,0.25,0.8,1.2,0.714,0.591,0.3,0.3,1.0,0.2,0.7,0.8,0.7,0.0,0.3,0.5,0.7,2.5
Malcolm Cazalon,22,,,,,,,,26,22,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stanley Umude,24,,,,,,,,21,24,17,0,11.2,1.5,3.1,0.481,1.0,1.8,0.548,0.5,1.2,0.381,0.644,1.3,1.4,0.917,0.2,1.6,1.8,0.5,0.2,0.3,0.6,1.6,5.2
Joe Harris,32,$19928571,,,,,,$19928571,22,32,16,0,10.6,0.9,2.4,0.359,0.6,1.9,0.333,0.3,0.6,0.444,0.487,0.1,0.1,0.5,0.2,0.6,0.8,0.6,0.2,0.1,0.3,1.2,2.4
Killian Hayes,22,$7413955,,,,,,$7413955,8,22,42,31,24.0,2.8,6.7,0.413,0.5,1.8,0.297,2.3,5.0,0.455,0.452,0.8,1.2,0.66,0.3,2.6,2.8,4.9,0.9,0.5,1.2,1.8,6.9
Danilo Gallinari,35,$6802950,,,,,,$6802950,17,35,6,0,15.0,2.0,3.7,0.545,1.2,2.0,0.583,0.8,1.7,0.5,0.705,3.5,4.0,0.875,0.3,2.0,2.3,2.0,0.3,0.3,0.2,1.5,8.7
