Player,Age,Salary,Salary,Salary,Salary,Salary,Salary,
Trae Young,25,$40064220,$43031940,$45999660,$48967380,,,$178063200
Clint Capela,29,$20616000,$22265280,,,,,$42881280
De'Andre Hunter,26,$20089286,$21696429,$23303571,$24910714,,,$90000000
Bogdan Bogdanović,31,$18700000,$17260000,$16020000,$16020000,,,$51980000
Dejounte Murray,27,$18214000,$25499599,$27539568,$29579537,$31619506,,$100832704
Onyeka Okongwu,23,$8109063,$14000000,$15000000,$16120000,$16880000,,$70109063
Patty Mills,35,$6802950,,,,,,$6802950
Saddiq Bey,24,$4556983,,,,,,$4556983
Kobe Bufkin,20,$4094280,$4299000,$4503720,$6904203,,,$8393280
AJ Griffin,20,$3712920,$3889920,$5967137,,,,$7602840
Jalen Johnson,22,$2925360,$4510905,,,,,$7436265
Bruno Fernando,25,$2581522,$2717391,$2853260,,,,
Wesley Matthews,37,$2019706,,,,,,$2019706
Garrison Mathews,27,$2000000,$2230253,,,,,
Mouhamed Gueye,21,$1119563,$1891857,$2221677,$2406205,,,$3011420
Trent Forrest,25,,,,,,,
Vit Krejci,23,,,,,,,
Seth Lundy,23,,,,,,,
