Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Cade Cunningham,22,44,44,34.0,8.2,18.4,.446,1.7,5.1,.335,6.5,13.3,.489,.493,3.8,4.5,.857,0.4,3.7,4.1,7.5,0.9,0.4,3.6,2.7,21.9
2,Bojan Bogdanović,34,28,27,32.9,7.1,15.2,.468,3.1,7.4,.415,4.0,7.8,.518,.569,2.9,3.7,.779,0.5,2.9,3.4,2.5,0.8,0.1,2.3,2.0,20.2
3,Isaiah Stewart,22,35,34,30.6,4.1,8.6,.470,1.4,3.7,.374,2.7,4.9,.544,.551,1.5,2.0,.746,1.8,5.0,6.8,1.7,0.4,0.8,1.5,2.5,11.0
4,Jalen Duren,20,39,38,30.1,6.1,9.7,.631,0.0,0.1,.000,6.1,9.6,.636,.631,1.8,2.4,.742,3.4,8.6,12.0,2.5,0.4,0.8,1.9,3.3,14.0
5,Jaden Ivey,21,50,34,27.7,5.4,11.9,.454,1.6,4.3,.361,3.8,7.6,.507,.519,2.9,4.0,.729,1.3,2.4,3.7,3.6,0.7,0.6,2.5,2.9,15.3
6,Simone Fontecchio,28,3,2,26.0,6.0,13.3,.450,2.3,6.7,.350,3.7,6.7,.550,.538,1.0,1.7,.600,1.0,3.7,4.7,2.0,1.0,0.0,0.3,1.7,15.3
7,Evan Fournier,31,2,0,25.0,4.0,10.5,.381,2.0,6.0,.333,2.0,4.5,.444,.476,1.5,2.0,.750,1.0,3.0,4.0,1.0,1.5,0.5,2.5,2.5,11.5
8,Killian Hayes,22,42,31,24.0,2.8,6.7,.413,0.5,1.8,.297,2.3,5.0,.455,.452,0.8,1.2,.660,0.3,2.6,2.8,4.9,0.9,0.5,1.2,1.8,6.9
9,Ausar Thompson,21,54,29,24.0,3.6,7.5,.485,0.2,1.6,.155,3.4,6.0,.571,.501,1.1,1.8,.619,2.2,4.3,6.5,1.9,1.0,0.9,1.3,2.8,8.6
10,Alec Burks,32,43,0,21.0,3.7,9.4,.394,2.3,5.7,.401,1.4,3.7,.384,.516,2.8,3.1,.903,0.4,2.2,2.6,1.6,0.5,0.3,0.7,1.5,12.6
11,Isaiah Livers,25,23,6,20.4,1.7,5.0,.345,1.0,3.3,.286,0.8,1.7,.462,.440,0.5,0.8,.667,0.7,1.4,2.1,1.1,0.6,0.2,0.7,1.9,5.0
12,Marvin Bagley III,24,26,10,18.4,4.1,7.0,.591,0.0,0.2,.167,4.1,6.7,.606,.594,1.9,2.3,.820,1.8,2.8,4.5,1.0,0.2,0.5,1.1,1.5,10.2
13,Kevin Knox,24,31,11,18.1,2.8,6.0,.462,1.0,3.0,.330,1.8,3.0,.598,.546,0.6,0.7,.909,0.6,1.8,2.4,0.7,0.4,0.2,0.7,1.6,7.2
14,Shake Milton,27,3,0,17.7,3.3,8.0,.417,1.0,2.7,.375,2.3,5.3,.438,.479,0.7,1.0,.667,2.3,3.7,6.0,2.0,0.7,0.3,1.0,0.7,8.3
15,Marcus Sasser,23,49,0,16.4,2.9,6.2,.467,1.2,2.8,.416,1.7,3.4,.509,.561,0.7,0.8,.868,0.1,1.4,1.6,3.0,0.5,0.2,1.0,1.4,7.6
16,Troy Brown Jr.,24,3,0,16.0,2.3,5.3,.438,1.3,3.3,.400,1.0,2.0,.500,.563,0.7,0.7,1.000,0.3,3.3,3.7,1.3,0.3,0.0,0.3,1.0,6.7
17,Danilo Gallinari,35,6,0,15.0,2.0,3.7,.545,1.2,2.0,.583,0.8,1.7,.500,.705,3.5,4.0,.875,0.3,2.0,2.3,2.0,0.3,0.3,0.2,1.5,8.7
18,James Wiseman,22,35,0,14.1,2.6,3.9,.667,0.0,0.1,.000,2.6,3.9,.676,.667,0.7,1.2,.634,1.5,2.5,4.0,0.6,0.1,0.6,0.9,2.1,6.0
19,Mike Muscala,32,13,4,13.2,1.2,3.4,.341,1.0,2.6,.382,0.2,0.8,.200,.489,0.2,0.3,.500,0.8,1.5,2.2,0.8,0.2,0.4,0.2,1.0,3.5
20,Monte Morris,28,6,0,11.3,2.0,5.5,.364,0.3,1.8,.182,1.7,3.7,.455,.394,0.2,0.3,.500,0.3,1.7,2.0,1.3,0.2,0.2,0.3,0.2,4.5
21,Stanley Umude,24,17,0,11.2,1.5,3.1,.481,1.0,1.8,.548,0.5,1.2,.381,.644,1.3,1.4,.917,0.2,1.6,1.8,0.5,0.2,0.3,0.6,1.6,5.2
22,Joe Harris,32,16,0,10.6,0.9,2.4,.359,0.6,1.9,.333,0.3,0.6,.444,.487,0.1,0.1,.500,0.2,0.6,0.8,0.6,0.2,0.1,0.3,1.2,2.4
23,Tosan Evbuomwan,22,1,0,8.0,2.0,2.0,1.000,1.0,1.0,1.000,1.0,1.0,1.000,1.250,0.0,0.0,,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,5.0
24,Jared Rhoden,24,6,0,7.0,1.0,1.8,.545,0.2,0.7,.250,0.8,1.2,.714,.591,0.3,0.3,1.000,0.2,0.7,0.8,0.7,0.0,0.3,0.5,0.7,2.5
25,Malachi Flynn,25,2,0,5.0,0.5,2.0,.250,0.5,1.0,.500,0.0,1.0,.000,.375,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,1.5
26,Malcolm Cazalon,22,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
