Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Luka Dončić,24,47,47,37.4,11.5,23.4,.492,3.9,10.3,.375,7.7,13.2,.583,.574,7.3,9.3,.777,0.7,8.1,8.8,9.5,1.4,0.6,4.0,2.0,34.2
2,Kyrie Irving,31,33,33,33.9,9.6,19.6,.491,2.9,7.0,.414,6.7,12.6,.534,.565,3.3,3.7,.878,0.8,4.4,5.2,5.5,1.3,0.5,1.6,1.9,25.5
3,Tim Hardaway Jr.,31,52,10,29.8,5.9,14.3,.414,3.2,8.6,.365,2.8,5.6,.490,.525,2.3,2.7,.877,0.3,3.3,3.6,1.7,0.5,0.1,1.0,1.6,17.3
4,P.J. Washington,25,3,2,29.3,3.7,9.0,.407,0.7,4.0,.167,3.0,5.0,.600,.444,0.7,2.0,.333,0.7,4.7,5.3,2.0,0.3,0.3,1.7,2.3,8.7
5,Josh Green,23,42,25,27.3,3.4,6.9,.491,1.5,3.5,.412,2.0,3.4,.573,.596,0.8,1.2,.660,0.6,2.7,3.3,2.5,0.8,0.2,1.1,2.0,9.0
6,Grant Williams,25,47,33,26.4,2.8,6.7,.413,1.7,4.5,.376,1.1,2.3,.486,.538,0.9,1.2,.745,1.0,2.6,3.6,1.7,0.5,0.6,1.1,2.9,8.1
7,Dereck Lively II,19,37,35,25.7,4.1,5.6,.736,0.0,0.1,.000,4.1,5.6,.743,.736,0.9,1.6,.559,2.8,5.0,7.8,1.3,0.6,1.5,1.1,3.0,9.2
8,Derrick Jones Jr.,26,50,47,25.3,3.5,7.2,.486,1.2,3.6,.341,2.3,3.6,.630,.571,1.3,1.8,.744,1.1,2.5,3.7,1.0,0.8,0.7,0.9,1.8,9.6
9,Maxi Kleber,32,19,7,21.6,2.0,4.3,.463,0.9,2.5,.354,1.1,1.8,.618,.567,0.8,1.2,.652,0.8,2.8,3.6,1.8,0.4,0.8,1.0,2.1,5.7
10,Daniel Gafford,25,3,2,21.3,6.3,10.3,.613,0.0,0.0,,6.3,10.3,.613,.613,2.3,3.0,.778,4.3,7.7,12.0,1.3,0.7,2.3,1.3,2.0,15.0
11,Dante Exum,28,32,14,19.7,3.6,6.3,.571,1.0,2.0,.477,2.7,4.3,.616,.648,1.0,1.4,.727,0.6,2.2,2.8,2.8,0.6,0.2,0.8,1.6,9.2
12,Jaden Hardy,21,50,6,15.7,3.0,7.4,.409,1.4,3.7,.369,1.7,3.7,.449,.501,0.8,1.1,.717,0.3,1.7,2.0,1.7,0.3,0.1,0.8,1.1,8.2
13,Dwight Powell,32,47,8,15.4,1.4,2.0,.705,0.0,0.0,.500,1.4,2.0,.710,.711,1.3,1.8,.723,1.7,2.1,3.9,1.6,0.5,0.4,0.6,2.1,4.1
14,Seth Curry,33,36,3,12.7,1.5,4.0,.372,0.8,2.2,.363,0.7,1.8,.385,.472,0.5,0.5,.895,0.4,1.0,1.4,0.8,0.5,0.1,0.4,0.9,4.3
15,Richaun Holmes,30,23,2,10.3,1.4,2.6,.559,0.0,0.0,,1.4,2.6,.559,.559,0.5,0.9,.571,1.4,2.0,3.4,0.7,0.1,0.4,0.5,1.4,3.4
16,Markieff Morris,34,17,1,9.2,0.9,2.9,.327,0.6,1.8,.333,0.4,1.1,.316,.429,0.2,0.2,.750,0.2,1.5,1.8,0.6,0.3,0.1,0.5,0.6,2.6
17,A.J. Lawson,23,27,0,8.5,1.4,3.1,.464,0.5,1.5,.325,1.0,1.6,.591,.542,0.4,0.7,.632,0.4,0.8,1.2,0.5,0.3,0.1,0.4,0.7,3.8
18,Olivier-Maxence Prosper,21,30,0,8.5,0.8,2.4,.352,0.3,1.1,.242,0.6,1.3,.447,.408,0.8,1.1,.676,0.6,1.4,2.0,0.6,0.1,0.1,0.2,0.6,2.7
19,Dexter Dennis,24,4,0,7.5,2.5,4.8,.526,0.3,2.0,.125,2.3,2.8,.818,.553,0.3,0.8,.333,0.3,2.0,2.3,1.0,0.0,0.3,0.8,0.3,5.5
20,Greg Brown III,22,6,0,6.7,0.8,1.8,.455,0.2,0.5,.333,0.7,1.3,.500,.500,0.7,1.5,.444,0.5,1.0,1.5,0.7,0.0,0.7,0.7,0.8,2.5
21,Brandon Williams,24,12,0,4.9,0.7,1.8,.364,0.2,0.5,.333,0.5,1.3,.375,.409,0.5,0.9,.545,0.3,0.3,0.6,1.0,0.1,0.1,0.3,0.2,2.0
