Player,Age_x,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,Guaranteed,Rk,Age_y,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Darius Garland,24,$34005250,$36725670,$39446090,$42166510,$44886930,,$197230450,3,24,29,29,31.8,6.7,14.2,0.471,1.7,5.0,0.331,5.0,9.2,0.547,0.529,3.2,3.7,0.86,0.5,1.8,2.3,5.9,1.4,0.1,3.2,1.3,18.2
Donovan Mitchell,27,$33162030,$35410310,$37096620,,,,$68572340,1,27,44,44,35.5,9.9,20.9,0.473,3.3,9.1,0.361,6.6,11.7,0.56,0.552,5.4,6.2,0.864,1.0,4.5,5.4,6.3,1.9,0.5,2.8,2.1,28.4
Jarrett Allen,25,$20000000,$20000000,$20000000,,,,$60000000,5,25,48,48,30.7,6.4,9.9,0.646,0.0,0.1,0.0,6.4,9.8,0.653,0.646,2.7,3.7,0.744,3.5,7.1,10.6,2.8,0.8,1.2,1.8,2.2,15.6
Caris LeVert,29,$15384616,$16615384,,,,,$32000000,6,29,43,1,27.4,5.3,12.4,0.424,1.7,5.1,0.336,3.6,7.3,0.486,0.493,2.1,2.9,0.748,0.5,3.0,3.6,4.4,1.0,0.4,1.5,1.7,14.4
Max Strus,27,$14487684,$15212068,$15936452,$16660836,,,$62297040,2,27,53,53,32.3,4.4,10.8,0.41,2.4,7.1,0.336,2.0,3.6,0.554,0.521,0.9,1.2,0.781,0.8,4.1,4.9,3.7,0.9,0.5,1.5,2.6,12.2
Isaac Okoro,23,$8920795,,,,,,$8920795,7,23,44,24,26.2,3.2,6.5,0.493,1.0,2.7,0.393,2.2,3.9,0.561,0.573,1.5,2.2,0.684,1.2,1.9,3.1,1.9,0.8,0.5,0.8,2.0,9.0
Evan Mobley,22,$8882640,$11227657,,,,,$20110297,4,22,30,30,31.2,6.6,11.3,0.587,0.3,0.8,0.417,6.3,10.5,0.6,0.602,2.2,2.9,0.759,2.4,7.8,10.2,2.8,0.8,1.5,2.0,2.8,15.8
Georges Niang,30,$8800000,$8500000,$8200000,,,,$25500000,8,30,53,1,21.7,3.3,7.7,0.432,1.7,4.8,0.352,1.6,2.9,0.565,0.542,0.6,0.8,0.825,0.3,3.3,3.6,1.2,0.2,0.2,0.8,2.4,8.9
Dean Wade,27,$5709877,$6166667,$6623456,,,,$11876544,9,27,44,30,21.1,1.8,4.5,0.411,1.5,3.9,0.398,0.3,0.6,0.5,0.584,0.3,0.4,0.789,0.8,3.5,4.3,0.8,0.8,0.4,0.4,1.9,5.6
Damian Jones,28,$2586665,,,,,,$2586665,15,28,25,0,6.0,0.7,1.3,0.531,0.1,0.3,0.286,0.6,1.0,0.6,0.563,0.4,0.4,0.909,0.4,1.0,1.3,0.5,0.1,0.4,0.4,0.6,1.8
Ty Jerome,26,$2439025,$2560975,,,,,$5000000,14,26,2,0,7.5,1.0,2.0,0.5,0.0,0.5,0.0,1.0,1.5,0.667,0.5,0.0,0.0,,0.5,0.0,0.5,1.5,0.0,0.0,0.5,1.0,2.0
Tristan Thompson,32,$2019706,,,,,,,12,32,36,0,12.4,1.7,2.6,0.649,0.0,0.0,0.0,1.7,2.6,0.656,0.649,0.4,1.2,0.31,1.6,2.3,3.9,1.1,0.2,0.3,0.6,1.4,3.8
Sam Merrill,27,$1997238,$2164993,,,,,$4162231,10,27,37,0,15.6,2.7,6.2,0.439,2.4,5.3,0.442,0.4,0.8,0.419,0.629,0.3,0.3,0.909,0.4,1.4,1.8,1.5,0.4,0.0,0.3,1.2,8.0
Pete Nance,24,$64343,,,,,,$64343,17,23,2,0,2.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isaiah Mobley,24,,,,,,,,16,24,3,0,4.7,0.7,1.3,0.5,0.3,0.7,0.5,0.3,0.7,0.5,0.625,0.0,0.0,,0.0,0.7,0.7,1.3,0.3,0.0,0.3,0.7,1.7
Craig Porter Jr.,23,,,,,,,,11,23,32,5,14.7,2.6,5.2,0.509,0.2,0.7,0.333,2.4,4.5,0.535,0.53,1.0,1.4,0.696,0.5,2.0,2.5,2.8,0.5,0.4,1.0,0.9,6.5
Emoni Bates,20,,,,,,,,13,20,10,0,7.6,0.6,2.5,0.24,0.5,2.0,0.25,0.1,0.5,0.2,0.34,0.1,0.2,0.5,0.1,0.9,1.0,0.6,0.1,0.2,0.1,0.5,1.8
