Player,Age_x,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,Guaranteed,Rk,Age_y,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
CJ McCollum,32,$35802469,$33333333,$30666666,,,,$99802468,2,32,41,41,32.1,6.9,14.9,0.461,3.4,8.0,0.421,3.5,6.8,0.509,0.576,1.9,2.4,0.798,0.6,3.7,4.3,4.6,1.1,0.8,1.6,2.1,19.0
Zion Williamson,23,$34005250,$36725670,$39446090,$42166510,$44886930,,$197230450,3,23,44,44,30.5,8.8,15.0,0.585,0.1,0.3,0.364,8.7,14.8,0.589,0.589,4.7,6.9,0.684,1.8,3.8,5.5,4.8,0.9,0.5,2.5,2.3,22.4
Brandon Ingram,26,$33833400,$36016200,,,,,$69849600,1,26,51,51,33.4,8.0,16.4,0.49,1.4,3.9,0.362,6.6,12.5,0.531,0.533,3.9,5.0,0.794,0.7,4.3,5.0,5.8,0.8,0.6,2.5,2.3,21.4
Jonas Valančiūnas,31,$15435000,,,,,,$15435000,6,31,55,55,25.5,5.4,9.5,0.573,0.5,1.6,0.341,4.9,7.9,0.62,0.602,2.3,2.9,0.796,2.6,6.8,9.4,2.3,0.4,1.0,1.4,2.9,13.7
Herbert Jones,25,$12015150,$12976362,$13937574,$14898786,,,$53827872,4,25,50,50,28.7,3.9,7.9,0.497,1.4,3.5,0.407,2.5,4.3,0.571,0.589,1.7,2.0,0.86,1.2,2.5,3.7,2.4,1.2,0.8,1.2,2.8,11.0
Larry Nance Jr.,31,$10375000,$11205000,,,,,$21580000,11,31,37,0,18.5,2.1,3.7,0.569,0.5,1.2,0.455,1.6,2.5,0.624,0.642,0.7,1.0,0.722,1.4,3.8,5.2,1.6,1.0,0.4,0.8,1.4,5.5
Dyson Daniels,20,$5784120,$6059520,$7707709,,,,$11843640,7,20,52,15,21.9,2.2,4.9,0.438,0.6,2.1,0.291,1.5,2.8,0.548,0.5,0.6,1.0,0.64,1.0,2.7,3.7,2.6,1.4,0.4,1.0,1.6,5.5
Jordan Hawkins,21,$4310160,$4525680,$4741320,$7021895,,,$8835840,9,21,48,10,20.2,3.2,7.9,0.401,2.0,5.1,0.381,1.2,2.8,0.439,0.525,1.3,1.5,0.847,0.5,2.1,2.7,1.3,0.4,0.1,0.8,1.3,9.6
Trey Murphy III,23,$3359280,$5159854,,,,,$8519134,5,23,30,6,25.8,4.3,9.8,0.435,2.5,6.9,0.361,1.8,2.9,0.616,0.563,1.7,2.1,0.806,0.5,3.2,3.7,1.6,0.7,0.5,0.5,1.2,12.7
Cody Zeller,31,$2019706,,,,,,$2019706,16,31,36,0,8.0,0.6,1.5,0.396,0.0,0.1,0.333,0.6,1.4,0.4,0.406,0.6,1.0,0.6,1.1,1.6,2.6,0.9,0.2,0.1,0.4,1.1,1.8
Naji Marshall,26,$1930681,,,,,,$1930681,10,26,44,1,18.5,2.6,5.7,0.46,0.8,2.2,0.378,1.8,3.5,0.513,0.534,1.4,1.8,0.792,1.0,2.5,3.5,1.9,0.7,0.2,1.1,1.5,7.5
Jose Alvarado,25,$1836096,$1988598,,,,,,12,25,37,0,16.6,2.5,5.9,0.418,1.2,3.5,0.357,1.2,2.5,0.505,0.523,0.7,1.0,0.684,0.4,1.8,2.2,1.8,1.1,0.3,0.7,1.5,6.9
E.J. Liddell,23,$1801769,$2120693,$2301587,,,,$3922462,18,23,8,0,2.9,0.1,0.8,0.167,0.0,0.6,0.0,0.1,0.1,1.0,0.167,0.3,0.3,1.0,0.0,0.6,0.6,0.1,0.3,0.3,0.3,0.3,0.5
Jeremiah Robinson-Earl,23,,,,,,,,14,23,21,1,10.0,1.4,2.8,0.517,0.4,1.0,0.364,1.0,1.7,0.611,0.586,0.5,0.5,0.909,0.7,1.6,2.3,0.5,0.3,0.1,0.4,0.7,3.7
Matt Ryan,26,,,,,,,,8,26,14,1,21.6,2.7,6.1,0.447,2.3,4.9,0.471,0.4,1.2,0.353,0.635,0.9,1.0,0.929,0.4,1.9,2.2,1.0,0.4,0.1,1.1,1.7,8.6
Dereon Seabron,23,,,,,,,,13,23,5,0,10.4,0.8,2.6,0.308,0.2,0.4,0.5,0.6,2.2,0.273,0.346,1.0,1.2,0.833,0.2,1.2,1.4,0.8,0.4,0.2,0.0,0.8,2.8
