Player,Age_x,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,Guaranteed,Rk,Age_y,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Luka Dončić,24,$40064220,$43031940,$45999660,$48967380,,,$129095820,1,24,47,47,37.4,11.5,23.4,0.492,3.9,10.3,0.375,7.7,13.2,0.583,0.574,7.3,9.3,0.777,0.7,8.1,8.8,9.5,1.4,0.6,4.0,2.0,34.2
Kyrie Irving,31,$37037037,$40000000,$42962963,,,,$77037037,2,31,33,33,33.9,9.6,19.6,0.491,2.9,7.0,0.414,6.7,12.6,0.534,0.565,3.3,3.7,0.878,0.8,4.4,5.2,5.5,1.3,0.5,1.6,1.9,25.5
Tim Hardaway Jr.,31,$17897728,$16193183,,,,,$34090911,3,31,52,10,29.8,5.9,14.3,0.414,3.2,8.6,0.365,2.8,5.6,0.49,0.525,2.3,2.7,0.877,0.3,3.3,3.6,1.7,0.5,0.1,1.0,1.6,17.3
P.J. Washington,25,$16847826,$15500000,$14152174,,,,$46500000,4,25,3,2,29.3,3.7,9.0,0.407,0.7,4.0,0.167,3.0,5.0,0.6,0.444,0.7,2.0,0.333,0.7,4.7,5.3,2.0,0.3,0.3,1.7,2.3,8.7
Daniel Gafford,25,$12402000,$13394160,$14386320,,,,$40182480,10,25,3,2,21.3,6.3,10.3,0.613,0.0,0.0,,6.3,10.3,0.613,0.613,2.3,3.0,0.778,4.3,7.7,12.0,1.3,0.7,2.3,1.3,2.0,15.0
Maxi Kleber,32,$11000000,$11000000,$11000000,,,,$33000000,9,32,19,7,21.6,2.0,4.3,0.463,0.9,2.5,0.354,1.1,1.8,0.618,0.567,0.8,1.2,0.652,0.8,2.8,3.6,1.8,0.4,0.8,1.0,2.1,5.7
Dereck Lively II,20,$4775640,$5014560,$5253360,$7239131,,,$9790200,7,19,37,35,25.7,4.1,5.6,0.736,0.0,0.1,0.0,4.1,5.6,0.743,0.736,0.9,1.6,0.559,2.8,5.0,7.8,1.3,0.6,1.5,1.1,3.0,9.2
Josh Green,23,$4765339,$12654321,$13666667,$14679012,,,$45765339,5,23,42,25,27.3,3.4,6.9,0.491,1.5,3.5,0.412,2.0,3.4,0.573,0.596,0.8,1.2,0.66,0.6,2.7,3.3,2.5,0.8,0.2,1.1,2.0,9.0
Dwight Powell,32,$4000000,$4000000,$4000000,,,,$8000000,13,32,47,8,15.4,1.4,2.0,0.705,0.0,0.0,0.5,1.4,2.0,0.71,0.711,1.3,1.8,0.723,1.7,2.1,3.9,1.6,0.5,0.4,0.6,2.1,4.1
Dante Exum,28,$3000000,$3150000,,,,,$3000000,11,28,32,14,19.7,3.6,6.3,0.571,1.0,2.0,0.477,2.7,4.3,0.616,0.648,1.0,1.4,0.727,0.6,2.2,2.8,2.8,0.6,0.2,0.8,1.6,9.2
Olivier-Maxence Prosper,21,$2733720,$2870400,$3007080,$5259383,,,$5604120,18,21,30,0,8.5,0.8,2.4,0.352,0.3,1.1,0.242,0.6,1.3,0.447,0.408,0.8,1.1,0.676,0.6,1.4,2.0,0.6,0.1,0.1,0.2,0.6,2.7
Derrick Jones Jr.,27,$2019706,,,,,,$2019706,8,26,50,47,25.3,3.5,7.2,0.486,1.2,3.6,0.341,2.3,3.6,0.63,0.571,1.3,1.8,0.744,1.1,2.5,3.7,1.0,0.8,0.7,0.9,1.8,9.6
Markieff Morris,34,$2019706,,,,,,$2019706,16,34,17,1,9.2,0.9,2.9,0.327,0.6,1.8,0.333,0.4,1.1,0.316,0.429,0.2,0.2,0.75,0.2,1.5,1.8,0.6,0.3,0.1,0.5,0.6,2.6
Jaden Hardy,21,$1719864,$2019699,,,,,$2119864,12,21,50,6,15.7,3.0,7.4,0.409,1.4,3.7,0.369,1.7,3.7,0.449,0.501,0.8,1.1,0.717,0.3,1.7,2.0,1.7,0.3,0.1,0.8,1.1,8.2
Greg Brown III,22,,,,,,,,20,22,6,0,6.7,0.8,1.8,0.455,0.2,0.5,0.333,0.7,1.3,0.5,0.5,0.7,1.5,0.444,0.5,1.0,1.5,0.7,0.0,0.7,0.7,0.8,2.5
A.J. Lawson,23,,,,,,,,17,23,27,0,8.5,1.4,3.1,0.464,0.5,1.5,0.325,1.0,1.6,0.591,0.542,0.4,0.7,0.632,0.4,0.8,1.2,0.5,0.3,0.1,0.4,0.7,3.8
Brandon Williams,24,,,,,,,,21,24,12,0,4.9,0.7,1.8,0.364,0.2,0.5,0.333,0.5,1.3,0.375,0.409,0.5,0.9,0.545,0.3,0.3,0.6,1.0,0.1,0.1,0.3,0.2,2.0
