Player,Age_x,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,Guaranteed,Rk,Age_y,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Deandre Ayton,25,$32459438,$34005126,$35550814,,,,$102015378,4,25,37,37,31.7,6.4,11.4,0.56,0.0,0.0,,6.4,11.4,0.56,0.56,1.0,1.3,0.809,3.0,7.4,10.4,1.7,1.1,0.8,1.7,2.3,13.8
Jerami Grant,29,$27586207,$29793104,$32000001,$34206898,$36413790,,$123586210,1,29,47,47,34.0,7.3,16.1,0.456,2.1,5.2,0.403,5.3,10.9,0.481,0.521,4.9,6.0,0.813,0.7,3.0,3.7,2.7,0.7,0.7,2.0,2.3,21.7
Anfernee Simons,24,$24107143,$25892857,$27678571,,,,$77678571,2,24,31,31,33.5,7.9,18.3,0.433,3.4,8.8,0.388,4.5,9.5,0.474,0.527,3.7,4.1,0.913,0.5,3.1,3.5,5.3,0.5,0.1,2.6,2.2,22.9
Malcolm Brogdon,31,$22500000,$22500000,,,,,$45000000,5,31,39,25,28.7,5.6,12.7,0.44,2.1,5.1,0.412,3.5,7.6,0.458,0.522,2.4,3.0,0.819,0.7,3.1,3.8,5.5,0.7,0.2,1.5,1.5,15.7
Robert Williams,26,$11571429,$12428571,$13285713,,,,$37285713,11,26,6,0,19.8,2.8,4.3,0.654,0.0,0.0,,2.8,4.3,0.654,0.654,1.2,1.5,0.778,1.8,4.5,6.3,0.8,1.2,1.2,1.2,2.8,6.8
Matisse Thybulle,26,$10500000,$11025000,$11550000,,,,$21525000,9,26,52,19,23.0,1.9,4.8,0.388,1.3,3.7,0.342,0.6,1.1,0.544,0.52,0.3,0.4,0.8,0.4,1.5,1.9,1.3,1.6,0.8,0.5,1.4,5.3
Scoot Henderson,20,$9770880,$10259160,$10748040,$13585523,,,$20030040,6,19,43,16,27.0,4.4,11.8,0.375,1.2,3.9,0.31,3.2,7.9,0.408,0.427,2.8,3.4,0.818,0.9,2.1,3.0,4.7,0.6,0.2,3.0,3.0,12.9
Shaedon Sharpe,20,$6313800,$6614160,$8399983,,,,$12927960,3,20,32,25,33.1,5.5,13.6,0.406,1.9,5.6,0.333,3.6,7.9,0.457,0.475,3.1,3.7,0.824,1.3,3.7,5.0,2.9,0.9,0.4,2.3,2.8,15.9
Kris Murray,23,$2847480,$2990040,$3132000,$5315004,,,$5837520,15,23,34,1,13.1,1.4,3.5,0.407,0.6,1.7,0.322,0.9,1.7,0.492,0.487,0.3,0.5,0.563,0.6,1.3,2.0,0.7,0.7,0.2,0.6,0.8,3.6
Dalano Banton,24,$2019706,$2196970,,,,,$2019706,8,24,3,0,23.0,3.3,8.7,0.385,0.7,2.3,0.286,2.7,6.3,0.421,0.423,3.3,5.0,0.667,0.3,3.0,3.3,2.0,1.0,0.0,2.3,1.0,10.7
Moses Brown,24,$2019706,,,,,,,18,24,9,4,9.1,1.0,2.3,0.429,0.0,0.0,,1.0,2.3,0.429,0.429,0.0,0.4,0.0,2.0,3.1,5.1,0.2,0.2,0.3,0.4,1.2,2.0
Jabari Walker,21,$1719864,$2019699,,,,,$1719864,10,21,50,14,22.2,3.0,6.5,0.469,0.5,2.0,0.276,2.5,4.5,0.553,0.511,1.7,2.3,0.754,1.9,4.4,6.4,0.8,0.6,0.4,0.9,2.3,8.3
Toumani Camara,23,$1119563,$1891857,$2221677,$2406205,,,$1119563,7,23,53,33,23.6,2.6,6.0,0.436,0.8,2.5,0.308,1.9,3.6,0.524,0.498,1.0,1.4,0.724,1.8,3.0,4.8,1.0,1.0,0.5,1.2,2.5,7.0
Rayan Rupert,19,$1119563,$1891857,$2221677,,,,$3011420,20,19,16,0,7.4,0.9,2.7,0.349,0.4,1.1,0.412,0.5,1.6,0.308,0.43,0.3,0.5,0.625,0.4,0.9,1.3,0.7,0.2,0.0,0.4,0.4,2.6
Justin Minaya,24,,,,,,,,19,24,17,0,8.6,0.4,1.4,0.261,0.2,0.9,0.2,0.2,0.5,0.375,0.326,0.2,0.4,0.5,0.5,0.6,1.1,0.4,0.3,0.3,0.3,0.6,1.1
Duop Reath,27,,,,,,,,12,27,40,11,17.4,3.3,6.9,0.475,1.4,3.6,0.385,1.9,3.3,0.571,0.574,1.0,1.4,0.741,1.5,2.4,3.8,1.1,0.5,0.5,0.8,2.5,8.9
Ibou Badji,21,,,,,,,,16,21,17,1,11.7,0.7,1.1,0.632,0.0,0.0,,0.7,1.1,0.632,0.632,0.3,0.6,0.5,1.1,1.7,2.8,0.8,0.1,1.2,0.8,2.4,1.7
Ish Wainright,29,$1927896,,,,,,$1927896,21,29,7,0,6.6,0.9,2.6,0.333,0.9,2.3,0.375,0.0,0.3,0.0,0.5,0.3,0.3,1.0,0.0,1.3,1.3,0.0,0.3,0.1,0.1,0.6,2.9
Skylar Mays,26,$1799163,,,,,,,13,26,21,5,17.0,2.5,6.6,0.384,0.7,2.3,0.286,1.9,4.2,0.438,0.435,0.6,0.8,0.765,0.4,1.3,1.8,3.6,0.7,0.1,0.9,1.0,6.3
Taze Moore,25,$64343,,,,,,$64343,22,25,3,0,3.3,1.0,1.7,0.6,0.0,0.7,0.0,1.0,1.0,1.0,0.6,0.0,0.0,,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.7,2.0
