Player,Age_x,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,Guaranteed,Rk,Age_y,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
John Collins,26,$25340000,$26580000,$26580000,,,,$78500000,3,26,52,50,27.8,5.7,10.8,0.523,1.2,3.4,0.335,4.5,7.4,0.61,0.576,1.8,2.4,0.78,2.3,6.0,8.2,1.2,0.6,0.8,1.4,2.8,14.3
Jordan Clarkson,31,$23487629,$14092577,$14285714,,,,$51865920,2,31,46,19,30.2,6.1,14.8,0.415,1.7,5.7,0.299,4.4,9.1,0.487,0.472,3.3,3.8,0.879,1.0,2.4,3.3,4.8,0.5,0.1,2.7,1.4,17.3
Collin Sexton,25,$17325000,$18150000,$18975000,,,,$54450000,5,25,56,33,24.6,6.1,12.5,0.487,1.6,4.1,0.39,4.5,8.4,0.534,0.551,4.1,4.7,0.868,0.9,1.7,2.6,4.6,0.7,0.2,1.9,2.0,17.9
Lauri Markkanen,26,$17259999,$18044544,,,,,$23259999,1,26,46,46,32.8,7.9,16.2,0.491,3.2,8.0,0.403,4.7,8.1,0.579,0.592,4.3,4.8,0.887,2.3,6.2,8.6,1.9,0.8,0.5,1.3,1.9,23.4
Talen Horton-Tucker,23,$11020000,,,,,,$11020000,9,23,36,11,20.2,3.8,9.2,0.411,1.1,3.4,0.331,2.6,5.8,0.459,0.473,1.7,2.2,0.782,0.5,2.0,2.4,3.9,1.0,0.3,1.5,1.9,10.4
Kira Lewis Jr.,22,$5722116,,,,,,$5722116,18,22,2,0,2.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0
Taylor Hendricks,20,$5569920,$5848680,$6127080,$7805900,,,$11418600,12,20,17,0,14.7,1.7,4.4,0.387,0.9,2.7,0.326,0.8,1.7,0.483,0.487,0.4,0.5,0.75,0.9,1.9,2.9,0.5,0.6,0.5,0.9,1.1,4.6
Keyonte George,20,$3889800,$4084200,$4278960,$6563925,,,$7974000,4,20,50,19,24.9,3.7,9.5,0.391,1.9,5.4,0.348,1.8,4.1,0.447,0.489,2.3,2.9,0.818,0.3,2.5,2.8,4.3,0.5,0.1,2.0,1.2,11.7
Walker Kessler,22,$2831160,$2965920,$4878938,,,,$5797080,6,22,48,17,23.4,3.8,5.8,0.652,0.1,0.4,0.222,3.7,5.4,0.682,0.659,0.9,1.6,0.56,2.6,4.9,7.5,0.9,0.5,2.8,1.0,2.2,8.5
Omer Yurtseven,25,$2800000,$2660000,,,,,$5460000,13,25,30,6,9.1,1.3,2.8,0.482,0.1,0.5,0.2,1.2,2.3,0.544,0.5,0.2,0.4,0.538,1.2,2.4,3.6,0.4,0.1,0.4,0.8,1.2,3.0
Kris Dunn,29,$2586665,,,,,,,11,29,48,27,18.0,2.2,4.6,0.477,0.7,1.6,0.416,1.5,3.0,0.51,0.55,0.3,0.5,0.696,0.7,2.2,2.9,4.1,1.0,0.5,1.3,1.9,5.4
Brice Sensabaugh,20,$2448600,$2571480,$2693760,$4862237,,,$5020080,17,20,6,0,2.7,0.5,1.7,0.3,0.2,0.7,0.25,0.3,1.0,0.333,0.35,0.2,0.2,1.0,0.2,0.5,0.7,0.3,0.0,0.0,0.2,0.2,1.3
Luka Šamanić,24,$2066585,,,,,,,14,24,26,0,5.7,0.9,2.3,0.377,0.2,0.9,0.25,0.7,1.4,0.459,0.426,0.7,0.8,0.81,0.3,1.3,1.7,0.2,0.0,0.1,0.4,0.6,2.7
Johnny Juzang,22,,,,,,,,16,22,2,0,3.0,0.0,1.5,0.0,0.0,1.5,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
Micah Potter,25,,,,,,,,15,25,2,0,3.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Jason Preston,24,,,,,,,,19,24,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
