Player,Age,Salary,Salary,Salary,Salary,Salary,Salary,
Keldon Johnson,24,$20000000,$19000000,$17500000,$17500000,,,$74000000
Marcus Morris,34,$17116279,,,,,,$17116279
Victor Wembanyama,20,$12160680,$12768960,$13376880,$16868246,,,$24929640
Devonte' Graham,28,$12100000,$12650000,,,,,$14950000
Tre Jones,24,$9895833,$9104167,,,,,$19000000
Zach Collins,26,$7700000,$16741200,$18080496,,,,$42521696
Cedi Osman,28,$6718842,,,,,,$6718842
Devin Vassell,23,$5887899,$29347826,$27000000,$27000000,$24652174,$27000000,$140887899
Jeremy Sochan,20,$5316960,$5570040,$7096231,,,,$10887000
Malaki Branham,20,$3071880,$3217920,$4962033,,,,$6289800
Julian Champagnie,22,$3000000,$3000000,$3000000,$3000000,,,$3000000
Charles Bassey,23,$2600000,$2500000,$2500000,,,,$2600000
Blake Wesley,20,$2504640,$2624280,$4726328,,,,$5128920
Sandro Mamukelashvili,24,$2019706,,,,,,$2019706
Sidy Cissoko,19,$1119563,$1891857,$2221677,,,,$5233097
David Duke Jr.,24,,,,,,,
Mamadi Diakite,27,,,,,,,
Dominick Barlow,20,,,,,,,
Reggie Bullock,32,$11014080,,,,,,$11014080
Khem Birch,31,$6985000,,,,,,$6985000
Cameron Payne,29,$6500000,,,,,,$6500000
Joshua Primo,21,$4341600,,,,,,$4341600
Lamar Stevens,26,$400000,,,,,,$400000
