Player,Age,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,Guaranteed
Julius Randle,29,$28226880,$30317760,$32408640,,,,$58544640
Jalen Brunson,27,$26346666,$24960001,$24960001,,,,$51306667
Bojan Bogdanović,34,$20000000,$19032850,,,,,$20000000
OG Anunoby,26,$18642857,$19928571,,,,,$18642857
Mitchell Robinson,25,$15681818,$14318182,$12954546,,,,$42954546
Josh Hart,28,$12960000,$18144000,$19472240,$20923760,$22375280,,$71500000
Donte DiVincenzo,27,$10900000,$11445000,$11990000,$12535000,,,$46870000
Alec Burks,32,$10489600,,,,,,$10489600
Isaiah Hartenstein,25,$9245121,,,,,,$9245121
Precious Achiuwa,24,$4379527,,,,,,$4379527
Jericho Sims,25,$1927896,$2092344,,,,,$600000
Miles McBride,23,$1836096,$4710144,$4333333,$3956523,,,$14836096
Charlie Brown Jr.,27,,,,,,,
Jacob Toppin,23,,,,,,,
Duane Washington Jr.,23,,,,,,,
Dylan Windler,27,$2019706,,,,,,$2019706
DaQuan Jeffries,26,$831385,,,,,,$831385
Taj Gibson,38,$477630,,,,,,$845038
