Player,Age,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,Guaranteed
Gordon Hayward,33,$31500000,,,,,,$31500000
Kyle Lowry,37,$29682540,,,,,,$29682540
P.J. Washington,25,$16847826,$15500000,$14152174,,,,$46500000
LaMelo Ball,22,$10900635,$35500000,$38340000,$41180000,$44020000,$46860000,$216800635
Brandon Miller,21,$10880400,$11424600,$11968800,$15104626,,,$22305000
Miles Bridges,25,$7921300,,,,,,$7921300
Cody Martin,28,$7560000,$8120000,$8680000,,,,$15680000
Nick Richards,26,$5000000,$5000000,$5000000,,,,$10000000
James Bouknight,23,$4570080,$6064496,,,,,$4570080
Mark Williams,22,$3908160,$4094280,$6276531,,,,$8002440
Nick Smith Jr.,19,$2463960,$2587200,$2710680,$4890067,,,$5051160
Frank Ntilikina,25,$2019706,,,,,,
Ish Smith,35,$2019706,,,,,,$2019706
JT Thor,21,$1836096,$1988598,,,,,
Bryce McGowens,21,$1719864,$2019699,$2187451,,,,$1719864
Nathan Mensah,25,,,,,,,
Leaky Black,24,,,,,,,
Amari Bailey,19,,,,,,,
Kai Jones,23,$3047880,,,,,,$3047880
