Player,Age_x,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,Guaranteed,Rk,Age_y,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
De'Aaron Fox,26,$32600060,$34848340,$37096620,,,,$104545020,2,26,48,48,35.6,9.6,20.7,0.464,2.9,7.8,0.376,6.7,12.9,0.518,0.535,4.6,6.5,0.706,0.9,3.2,4.1,5.5,1.9,0.4,2.6,2.6,26.8
Domantas Sabonis,27,$30600000,$41800000,$44936000,$48072000,$51208000,,$216616000,1,27,54,54,35.7,8.1,13.1,0.622,0.5,1.1,0.426,7.6,11.9,0.64,0.64,3.4,4.9,0.697,3.2,10.0,13.2,8.3,0.9,0.5,3.3,3.1,20.1
Harrison Barnes,31,$17000000,$18000000,$19000000,,,,$54000000,4,31,54,54,29.9,4.2,8.7,0.483,1.9,4.9,0.397,2.3,3.9,0.59,0.593,1.9,2.3,0.82,0.8,2.1,2.9,1.2,0.7,0.2,0.7,1.3,12.2
Kevin Huerter,25,$15669643,$16830357,$17991071,,,,$50491071,6,25,52,47,25.0,4.1,9.0,0.452,2.0,5.5,0.368,2.0,3.4,0.587,0.565,0.7,0.8,0.791,0.6,3.0,3.6,2.6,0.7,0.4,0.8,2.1,10.8
Malik Monk,25,$9945830,,,,,,$9945830,5,25,53,0,25.8,5.3,11.8,0.449,2.2,6.0,0.375,3.0,5.8,0.524,0.544,2.3,2.8,0.815,0.4,2.4,2.8,5.3,0.6,0.6,2.2,2.1,15.1
Keegan Murray,23,$8409000,$8809560,$11144093,,,,$17218560,3,23,50,50,32.5,5.6,12.3,0.459,2.2,6.2,0.35,3.5,6.1,0.571,0.548,1.3,1.7,0.807,1.2,4.1,5.3,1.7,1.1,0.6,0.9,2.7,14.8
Trey Lyles,28,$8000000,$8000000,,,,,$16000000,7,28,39,0,20.1,2.6,5.5,0.463,1.6,4.1,0.405,0.9,1.5,0.621,0.611,0.8,1.2,0.681,0.9,3.6,4.5,1.2,0.3,0.3,0.6,1.5,7.6
Sasha Vezenkov,28,$6341464,$6658536,$6975609,,,,$13000000,10,28,35,0,12.6,2.1,4.7,0.448,1.1,2.9,0.38,1.0,1.9,0.554,0.564,0.3,0.4,0.769,0.9,1.6,2.5,0.4,0.5,0.2,0.3,1.0,5.6
Davion Mitchell,25,$5063640,$6451077,,,,,$11514717,8,25,44,3,13.2,1.5,3.6,0.403,0.6,1.8,0.309,0.9,1.8,0.5,0.481,0.4,0.6,0.72,0.2,0.9,1.0,1.7,0.2,0.0,0.6,1.2,3.9
Chris Duarte,26,$4124400,$5893768,,,,,$10018168,9,26,37,11,12.8,1.3,3.5,0.364,0.6,1.9,0.324,0.6,1.6,0.414,0.453,0.5,0.7,0.769,0.4,1.4,1.8,0.9,0.5,0.1,0.5,1.6,3.7
JaVale McGee,36,$2019706,,,,,,$2019706,13,36,39,0,7.9,1.9,3.0,0.629,0.0,0.1,0.0,1.9,2.9,0.652,0.629,0.6,1.1,0.581,0.9,1.9,2.9,0.4,0.2,0.5,0.8,1.1,4.4
Alex Len,30,$2019706,,,,,,$2019706,12,30,22,0,8.3,1.0,1.6,0.639,0.0,0.1,0.0,1.0,1.5,0.697,0.639,0.3,0.7,0.467,1.2,1.7,3.0,1.0,0.3,0.4,0.6,1.2,2.4
Colby Jones,21,$2019706,$2120693,$2221677,$2406205,,,$4140399,14,21,17,0,7.1,1.0,2.7,0.37,0.1,0.8,0.077,0.9,1.9,0.485,0.38,0.1,0.3,0.4,0.6,0.9,1.5,0.6,0.2,0.1,0.3,0.9,2.2
Kessler Edwards,23,$1927896,,,,,,$1927896,15,23,36,0,4.9,0.6,1.4,0.412,0.3,0.9,0.364,0.3,0.5,0.5,0.529,0.1,0.1,0.75,0.1,0.6,0.8,0.3,0.1,0.1,0.0,0.5,1.6
Jordan Ford,25,,,,,,,,18,25,6,0,3.7,0.7,1.2,0.571,0.3,0.5,0.667,0.3,0.7,0.5,0.714,0.3,0.3,1.0,0.0,0.3,0.3,0.3,0.0,0.0,0.2,0.0,2.0
Keon Ellis,24,,,,,,,,11,24,33,3,11.5,1.2,2.7,0.422,0.8,2.2,0.37,0.3,0.5,0.647,0.572,0.3,0.5,0.647,0.3,1.0,1.2,1.2,0.4,0.4,0.5,1.4,3.5
Jalen Slawson,24,,,,,,,,17,24,5,0,3.8,0.4,0.6,0.667,0.0,0.2,0.0,0.4,0.4,1.0,0.667,0.0,0.0,,0.0,0.8,0.8,0.4,0.0,0.2,0.4,0.6,0.8
Filip Petrušev,23,$559782,,,,,,$559782,19,23,2,0,3.5,0.5,1.0,0.5,0.0,0.0,,0.5,1.0,0.5,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5
