Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Scottie Barnes,22,55,55,35.2,7.5,15.8,.473,1.8,5.1,.353,5.7,10.7,.530,.529,3.3,4.3,.779,2.3,5.8,8.1,6.0,1.2,1.5,2.7,2.0,20.1
2,Pascal Siakam,29,39,39,34.7,8.3,16.0,.522,1.2,3.7,.317,7.2,12.3,.584,.559,4.3,5.7,.758,1.4,4.9,6.3,4.9,0.8,0.3,2.1,2.2,22.2
3,RJ Barrett,23,19,19,33.7,7.9,14.5,.549,1.4,3.7,.366,6.6,10.7,.613,.596,3.3,5.1,.639,1.2,5.7,6.9,3.5,0.7,0.4,2.1,2.7,20.5
4,OG Anunoby,26,27,27,33.3,5.8,11.9,.489,2.3,6.0,.374,3.6,5.9,.608,.584,1.2,1.7,.717,0.9,3.0,3.9,2.7,1.0,0.5,1.6,2.3,15.1
5,Immanuel Quickley,24,20,20,32.1,5.5,13.7,.401,2.6,6.4,.406,2.9,7.3,.397,.496,2.6,3.2,.825,0.4,3.6,4.0,5.8,0.7,0.2,1.3,1.8,16.2
6,Dennis Schröder,30,51,33,30.6,4.8,11.0,.442,1.5,4.3,.350,3.3,6.6,.501,.511,2.5,2.9,.852,0.4,2.3,2.7,6.1,0.9,0.2,1.6,2.1,13.7
7,Jakob Poeltl,28,44,44,26.8,4.9,7.3,.675,0.0,0.0,,4.9,7.3,.675,.675,1.2,2.2,.557,2.8,5.7,8.5,2.4,0.7,1.5,1.6,3.0,11.0
8,Gary Trent Jr.,25,50,20,26.3,4.2,10.2,.416,2.4,5.7,.418,1.9,4.5,.413,.532,0.6,0.9,.667,0.2,2.0,2.2,1.5,1.0,0.1,0.7,1.2,11.5
9,Bruce Brown,27,14,5,26.1,3.9,8.3,.466,0.6,1.9,.296,3.3,6.4,.517,.500,1.3,1.3,1.000,1.1,3.4,4.4,2.1,0.9,0.5,1.1,2.1,9.6
10,Precious Achiuwa,24,25,0,17.5,3.1,6.8,.459,0.5,1.9,.277,2.6,4.9,.528,.497,1.0,1.7,.571,2.0,3.4,5.4,1.8,0.6,0.5,1.2,1.6,7.7
11,Kelly Olynyk,32,3,0,16.7,3.3,7.0,.476,0.7,2.3,.286,2.7,4.7,.571,.524,2.0,2.0,1.000,1.3,3.0,4.3,1.7,2.0,0.3,1.0,2.0,9.3
12,Gradey Dick,20,34,1,15.3,1.9,4.7,.403,1.0,2.9,.357,0.9,1.8,.475,.513,0.7,0.7,.920,0.4,1.2,1.6,1.1,0.5,0.0,0.6,1.4,5.5
13,Malachi Flynn,25,31,0,15.3,1.8,4.4,.409,0.9,2.6,.350,0.9,1.8,.491,.511,0.5,0.7,.773,0.4,1.7,2.1,2.4,0.6,0.2,1.1,1.4,5.1
14,Thaddeus Young,35,23,6,15.2,2.3,3.8,.621,0.0,0.3,.167,2.3,3.5,.654,.626,0.2,0.5,.417,1.3,2.0,3.3,2.2,0.8,0.1,0.5,1.7,5.0
15,Ochai Agbaji,23,3,0,14.0,1.7,6.0,.278,0.3,3.0,.111,1.3,3.0,.444,.306,0.7,1.0,.667,0.7,0.7,1.3,0.7,0.3,0.0,1.0,1.0,4.3
16,Chris Boucher,31,46,0,13.9,2.2,4.4,.493,0.6,1.9,.326,1.5,2.5,.623,.564,1.3,1.8,.747,1.2,2.8,4.1,0.4,0.3,0.5,0.5,1.4,6.3
17,Jontay Porter,24,17,5,13.0,1.5,4.1,.371,0.7,2.2,.324,0.8,1.9,.424,.457,0.6,0.7,.917,1.0,2.2,3.2,1.8,0.7,0.6,0.6,1.6,4.4
18,Jordan Nwora,25,10,0,12.4,1.9,4.5,.422,0.9,2.2,.409,1.0,2.3,.435,.522,1.5,1.7,.882,0.5,1.7,2.2,1.4,0.5,0.2,0.7,1.4,6.2
19,Otto Porter Jr.,30,15,1,11.6,0.9,2.2,.424,0.5,1.5,.348,0.4,0.7,.600,.545,0.2,0.2,1.000,0.4,1.5,1.9,0.5,0.3,0.3,0.1,1.3,2.6
20,Jalen McDaniels,26,33,0,8.9,1.1,3.2,.333,0.3,1.6,.208,0.7,1.6,.462,.386,0.4,0.6,.700,0.3,1.0,1.3,0.5,0.3,0.1,0.5,0.9,2.9
21,Mouhamadou Gueye,25,1,0,6.0,1.0,3.0,.333,0.0,0.0,,1.0,3.0,.333,.333,0.0,0.0,,2.0,1.0,3.0,0.0,0.0,2.0,0.0,1.0,2.0
22,Garrett Temple,37,16,0,4.3,0.5,1.3,.381,0.1,0.6,.222,0.4,0.8,.500,.429,0.3,0.4,.833,0.3,0.4,0.7,0.4,0.2,0.0,0.3,0.4,1.4
23,Markquis Nowell,24,1,0,4.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,2.0,2.0,1.000,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0
24,Ron Harper Jr.,23,1,0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
25,Kira Lewis Jr.,22,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26,Javon Freeman-Liberty,24,2,0,2.0,0.5,1.5,.333,0.0,0.0,,0.5,1.5,.333,.333,0.0,0.0,,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0
