Player,Age_x,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,Guaranteed,Rk,Age_y,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
LeBron James,39,$47607350,$51415938,,,,,$47607350,2,39,49,49,34.9,9.3,17.9,0.52,2.1,5.4,0.395,7.2,12.5,0.573,0.579,4.1,5.5,0.741,0.9,6.3,7.2,7.8,1.3,0.6,3.2,1.2,24.8
Anthony Davis,30,$40600080,$43219440,$60507216,$65347793,$70188370,,$279862899,1,30,52,52,35.7,9.5,17.2,0.553,0.4,1.3,0.284,9.1,15.9,0.575,0.563,5.6,6.9,0.81,3.0,9.1,12.2,3.8,1.1,2.5,2.1,2.4,24.9
D'Angelo Russell,27,$17307693,$18692307,,,,,$36000000,3,27,51,44,31.2,6.4,13.7,0.465,2.7,6.4,0.417,3.7,7.4,0.507,0.562,2.0,2.5,0.81,0.4,2.4,2.8,6.3,0.8,0.5,1.9,2.1,17.5
Rui Hachimura,26,$15740741,$17000000,$18259259,,,,$51000000,8,25,42,13,24.2,4.6,8.9,0.515,1.2,3.1,0.4,3.3,5.8,0.576,0.584,1.6,2.2,0.728,0.8,2.9,3.7,1.1,0.7,0.3,0.7,1.4,12.0
Austin Reaves,25,$12015150,$12976362,$13937574,$14898786,,,$38929086,4,25,56,31,31.1,5.5,11.2,0.49,1.7,4.8,0.365,3.7,6.4,0.582,0.567,3.2,3.7,0.863,0.7,3.3,3.9,5.4,0.9,0.2,2.1,1.9,15.8
Gabe Vincent,27,$10500000,$11000000,$11500000,,,,$33000000,7,27,5,0,25.4,2.4,6.4,0.375,0.4,3.4,0.118,2.0,3.0,0.667,0.406,0.2,0.4,0.5,0.4,0.6,1.0,3.0,1.2,0.0,0.4,2.4,5.4
Jarred Vanderbilt,24,$4698000,$10714286,$11571429,$12428571,$13285714,,$39412286,10,24,29,6,20.0,2.0,3.9,0.518,0.3,0.9,0.296,1.8,3.0,0.586,0.553,0.8,1.2,0.667,1.4,3.3,4.8,1.2,1.2,0.2,1.0,1.5,5.2
Taurean Prince,29,$4516000,,,,,,$4516000,5,29,53,48,30.1,3.5,7.9,0.439,2.0,5.1,0.39,1.5,2.8,0.527,0.565,0.7,1.0,0.731,0.2,2.7,3.0,1.7,0.9,0.5,0.9,2.2,9.6
Jalen Hood-Schifino,20,$3695040,$3879840,$4064640,$6243288,,,$7574880,16,20,17,0,5.6,0.5,2.2,0.237,0.1,0.6,0.091,0.5,1.6,0.296,0.25,0.6,0.9,0.625,0.1,0.5,0.6,0.5,0.2,0.1,0.5,0.6,1.7
Christian Wood,28,$2709849,$3036040,,,,,$2709849,11,28,50,1,17.4,2.5,5.3,0.466,0.7,2.3,0.307,1.8,3.0,0.587,0.532,1.3,1.9,0.702,0.8,4.3,5.1,1.0,0.3,0.7,1.0,1.4,6.9
Jaxson Hayes,23,$2165000,$2463946,,,,,$2165000,13,23,45,3,11.0,1.5,2.2,0.701,0.0,0.1,0.0,1.5,2.0,0.747,0.701,0.6,1.0,0.628,0.7,1.6,2.3,0.5,0.5,0.4,0.5,1.6,3.6
Cam Reddish,24,$2165000,$2463946,,,,,$2165000,9,24,35,26,23.3,2.4,5.9,0.405,0.9,2.7,0.337,1.5,3.1,0.464,0.483,1.0,1.3,0.783,0.5,1.9,2.4,1.3,1.2,0.3,0.9,1.6,6.7
Max Christie,21,$1719864,,,,,,$1719864,12,20,43,7,17.2,1.8,4.3,0.422,0.7,2.1,0.356,1.1,2.2,0.484,0.508,0.7,0.9,0.784,0.2,2.4,2.6,1.0,0.4,0.3,0.7,1.2,5.0
Spencer Dinwiddie,30,$1554654,,,,,,$1554654,6,30,2,0,29.5,3.0,6.0,0.5,1.5,4.5,0.333,1.5,1.5,1.0,0.625,0.5,0.5,1.0,0.0,1.0,1.0,5.5,2.0,0.0,2.5,2.0,8.0
Maxwell Lewis,21,$1119563,$1891857,$2221677,$2406205,,,$3011420,19,21,19,0,3.6,0.2,0.6,0.25,0.1,0.2,0.333,0.1,0.5,0.222,0.292,0.0,0.0,,0.1,0.1,0.2,0.2,0.1,0.0,0.3,0.2,0.4
Skylar Mays,26,,,,,,,,14,26,8,0,7.0,0.9,2.0,0.438,0.3,0.6,0.4,0.6,1.4,0.455,0.5,0.0,0.0,,0.1,0.4,0.5,1.0,0.4,0.1,0.1,0.5,2.0
Dylan Windler,27,,,,,,,,18,27,5,0,4.0,0.8,1.8,0.444,0.8,1.6,0.5,0.0,0.2,0.0,0.667,0.0,0.0,,0.0,0.4,0.4,0.8,0.0,0.0,0.0,0.4,2.4
Colin Castleton,23,,,,,,,,17,23,7,0,5.1,1.0,1.4,0.7,0.0,0.0,,1.0,1.4,0.7,0.7,0.6,0.6,1.0,0.6,0.7,1.3,0.4,0.0,0.0,0.1,1.0,2.6
