Player,Age_x,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,Guaranteed,Rk,Age_y,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Dāvis Bertāns,31,$17000000,$16000000,,,,,$28000000,20,31,3,0,12.0,1.7,5.0,0.333,1.7,5.0,0.333,0.0,0.0,,0.5,0.0,0.0,,0.0,1.0,1.0,0.7,0.7,0.0,0.0,1.0,5.0
Grant Williams,25,$12405000,$13025250,$13645500,$14265750,,,$53341500,6,25,3,0,30.3,6.0,11.7,0.514,2.0,5.7,0.353,4.0,6.0,0.667,0.6,3.0,3.3,0.9,1.3,6.0,7.3,2.0,0.7,0.3,1.7,1.7,17.0
LaMelo Ball,22,$10900635,$35500000,$38340000,$41180000,$44020000,$46860000,$216800635,3,22,22,22,32.3,8.3,19.2,0.433,3.2,9.0,0.355,5.1,10.3,0.5,0.515,4.1,4.7,0.865,1.3,3.8,5.1,8.0,1.8,0.2,3.8,3.6,23.9
Brandon Miller,21,$10880400,$11424600,$11968800,$15104626,,,$22305000,5,21,48,42,31.4,6.2,13.9,0.444,2.3,6.0,0.386,3.9,7.9,0.488,0.528,1.9,2.3,0.836,0.9,3.2,4.1,2.3,0.8,0.6,1.7,2.6,16.6
Miles Bridges,25,$7921300,,,,,,$7921300,1,25,43,41,37.0,8.2,17.7,0.464,2.4,6.6,0.371,5.7,11.1,0.519,0.533,2.7,3.2,0.86,0.9,6.3,7.1,3.4,1.1,0.6,2.0,1.9,21.5
Vasilije Micić,30,$7723000,$7723000,$8109150,,,,$23555150,12,30,3,0,22.3,4.3,8.3,0.52,1.0,2.3,0.429,3.3,6.0,0.556,0.58,1.3,1.3,1.0,0.3,1.7,2.0,6.0,0.0,0.0,2.0,2.3,11.0
Cody Martin,28,$7560000,$8120000,$8680000,,,,$15680000,10,28,22,16,26.3,3.0,7.7,0.391,1.0,3.0,0.338,2.0,4.7,0.423,0.456,0.7,1.3,0.536,0.7,3.0,3.8,3.4,1.0,0.5,1.6,1.7,7.7
Nick Richards,26,$5000000,$5000000,$5000000,,,,$10000000,11,26,45,32,25.9,3.8,5.5,0.692,0.0,0.0,,3.8,5.5,0.692,0.692,2.1,2.9,0.731,2.6,5.4,7.9,0.8,0.3,1.3,1.1,2.7,9.7
Seth Curry,33,$4000000,$4000000,,,,,$8000000,13,33,3,0,18.7,4.0,7.3,0.545,1.3,4.0,0.333,2.7,3.3,0.8,0.636,0.7,0.7,1.0,0.3,1.0,1.3,1.3,1.0,0.3,0.3,0.0,10.0
Mark Williams,22,$3908160,$4094280,$6276531,,,,$8002440,9,22,19,19,26.7,5.2,7.9,0.649,0.0,0.0,,5.2,7.9,0.649,0.649,2.4,3.4,0.719,4.0,5.7,9.7,1.2,0.8,1.1,0.9,2.6,12.7
Tre Mann,23,$3191400,$4908373,,,,,$8099773,7,22,3,3,30.3,5.3,11.7,0.457,2.0,4.3,0.462,3.3,7.3,0.455,0.543,1.0,1.0,1.0,1.0,6.0,7.0,7.3,1.3,0.0,2.3,1.0,13.7
Nick Smith Jr.,19,$2463960,$2587200,$2710680,$4890067,,,$5051160,16,19,37,0,15.5,2.4,5.9,0.406,1.4,3.1,0.451,1.0,2.8,0.356,0.523,0.3,0.4,0.846,0.4,1.0,1.5,1.2,0.2,0.2,0.9,1.2,6.4
JT Thor,21,$1836096,$1988598,,,,,,18,21,43,1,13.4,1.2,3.2,0.367,0.4,1.4,0.317,0.7,1.8,0.405,0.435,0.2,0.3,0.538,0.9,1.6,2.5,0.4,0.2,0.4,0.3,1.0,3.0
Bryce McGowens,21,$1719864,$2019699,$2187451,,,,$1719864,15,21,43,13,16.4,1.9,4.2,0.459,0.7,2.0,0.357,1.2,2.3,0.546,0.541,1.0,1.3,0.754,0.3,1.5,1.9,0.9,0.4,0.1,0.6,1.5,5.6
Amari Bailey,20,,,,,,,,24,19,3,0,5.0,0.7,2.3,0.286,0.0,1.0,0.0,0.7,1.3,0.5,0.286,0.3,0.7,0.5,0.7,0.0,0.7,0.3,0.0,0.0,0.3,0.0,1.7
Nathan Mensah,25,,,,,,,,19,25,25,0,12.3,0.5,1.1,0.429,0.0,0.0,,0.5,1.1,0.429,0.429,0.4,0.5,0.75,1.2,1.4,2.6,0.4,0.2,0.6,0.6,2.6,1.3
Leaky Black,24,,,,,,,,21,24,22,3,9.9,0.8,1.8,0.436,0.3,0.7,0.467,0.5,1.1,0.417,0.526,0.4,0.6,0.643,0.4,1.4,1.7,0.8,0.2,0.3,0.2,0.7,2.3
James Bouknight,23,$4570080,,,,,,$4570080,23,23,14,0,5.8,1.3,2.9,0.439,0.9,2.1,0.433,0.4,0.8,0.455,0.598,0.1,0.1,0.5,0.1,0.6,0.6,0.4,0.1,0.1,0.1,0.2,3.6
Frank Ntilikina,25,$2019706,,,,,,$2019706,22,25,5,0,8.6,0.2,1.8,0.111,0.2,1.6,0.125,0.0,0.2,0.0,0.167,0.4,0.4,1.0,0.2,1.0,1.2,0.8,0.0,0.0,0.2,0.8,1.0
Ish Smith,35,$2019706,,,,,,$2019706,14,35,43,5,17.2,1.5,3.7,0.418,0.1,0.2,0.5,1.4,3.5,0.413,0.43,0.1,0.1,0.75,0.3,1.5,1.8,3.4,0.4,0.1,1.1,1.1,3.2
